dcid	dc_name	dc_sourcetype	fdid	fd_name	md_name	maxphase
DC00001	2141-V11;D2C7IT	DrugComb	FD00017	Glioma	Glioma	Phase 1|Phase 2
DC00002	AB248;Pembrolizumab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC00002	AB248;Pembrolizumab	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1
DC00002	AB248;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00002	AB248;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1
DC00003	ABBV011;Budigalimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00004	ABBV514;Budigalimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00005	Abemaciclib;Anastrozole	DrugComb	FD00007	Breast Cancer	Breast Cancer	Approval
DC00006	Abemaciclib;Anastrozole;Fulvestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00007	Abemaciclib;Anastrozole;Letrozole	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC00008	Abemaciclib;Anastrozole;Pembrolizumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00008	Abemaciclib;Anastrozole;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00009	Abemaciclib;Atezolizumab	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 2
DC00010	Abemaciclib;Atezolizumab;Fulvestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00011	Abemaciclib;Atezolizumab;Giredestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00012	Abemaciclib;Belzutifan	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1
DC00013	Abemaciclib;Bicalutamide	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00014	Abemaciclib;Crenigacestat	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00014	Abemaciclib;Crenigacestat	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC00014	Abemaciclib;Crenigacestat	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 1
DC00015	Abemaciclib;Elacestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00016	Abemaciclib;Everolimus;Exemestane	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00017	Abemaciclib;Exemestane	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00018	Abemaciclib;Fulvestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Approval
DC00018	Abemaciclib;Fulvestrant	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00018	Abemaciclib;Fulvestrant	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC00019	Abemaciclib;Fulvestrant;Samotolisib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00020	Abemaciclib;Fulvestrant;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00021	Abemaciclib;Giredestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00022	Abemaciclib;Letrozole	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC00023	Abemaciclib;Letrozole;Samotolisib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00023	Abemaciclib;Letrozole;Samotolisib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00023	Abemaciclib;Letrozole;Samotolisib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00024	Abemaciclib;Lodapolimab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00024	Abemaciclib;Lodapolimab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1
DC00024	Abemaciclib;Lodapolimab	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 1
DC00025	Abemaciclib;LY3499446	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00026	Abemaciclib;Necitumumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00027	Abemaciclib;Nivolumab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
DC00028	Abemaciclib;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00029	Abemaciclib;Pembrolizumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00029	Abemaciclib;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00029	Abemaciclib;Pembrolizumab	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 2
DC00030	Abemaciclib;Ramucirumab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC00030	Abemaciclib;Ramucirumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00030	Abemaciclib;Ramucirumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00031	Abemaciclib;Samotolisib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00031	Abemaciclib;Samotolisib	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 2
DC00032	Abemaciclib;Sunitinib	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1
DC00033	Abemaciclib;Tamoxifen	DrugComb	FD00007	Breast Cancer	Breast Cancer	Approval
DC00034	Abemaciclib;Temuterkib	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC00034	Abemaciclib;Temuterkib	DrugComb	FD00017	Glioma	Glioma	Early Phase 1
DC00034	Abemaciclib;Temuterkib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00034	Abemaciclib;Temuterkib	DrugComb	FD00026	Melanoma	Melanoma	Phase 1
DC00034	Abemaciclib;Temuterkib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 2
DC00035	Abemaciclib;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00036	Abemaciclib;Trastuzumab;Tucatinib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00037	Abemaciclib;Vepdegestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00038	Abemaciclib;Xentuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00038	Abemaciclib;Xentuzumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00039	Abemaciclib;ZN-c5	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00040	Abequolixron;Durvalumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00041	Abequolixron;Ipilimumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00042	Abexinostat;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00043	Abiraterone;Abivertinib	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 2
DC00044	Abiraterone;Apalutamide;Goserelin	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 2
DC00045	Abiraterone;Cabozantinib	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1
DC00046	Abiraterone;Capivasertib	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 3
DC00047	Abiraterone;Carotuximab	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 2
DC00048	Abiraterone;Imaradenant	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00049	Abiraterone;Ipatasertib	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 3
DC00049	Abiraterone;Ipatasertib	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1|Phase 2
DC00050	Abiraterone;Niraparib	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Approval
DC00051	Abiraterone;Olaparib	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Approval
DC00052	Abiraterone;Onapristone	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1|Phase 2
DC00053	Abiraterone;Tildrakizumab	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1|Phase 2
DC00054	Abiraterone;TQB3823	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1|Phase 2
DC00055	ABM1310;Cobimetinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00056	Acalabrutinib;Ceralasertib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC00057	Acalabrutinib;Durvalumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00058	Acalabrutinib;Magrolimab;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00059	Acalabrutinib;Navtemadlin	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC00059	Acalabrutinib;Navtemadlin	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC00060	Acalabrutinib;Obinutuzumab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2
DC00060	Acalabrutinib;Obinutuzumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00061	Acalabrutinib;Obinutuzumab;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2
DC00061	Acalabrutinib;Obinutuzumab;Venetoclax	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00062	Acalabrutinib;Pembrolizumab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 2
DC00062	Acalabrutinib;Pembrolizumab	DrugComb	FD00019	Hematologic Malignancies	Hematologic Malignancy	Phase 1|Phase 2
DC00062	Acalabrutinib;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00063	Acalabrutinib;Tafasitamab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00064	Acalabrutinib;Ublituximab;Umbralisib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2
DC00065	Acalabrutinib;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2|Phase 3
DC00065	Acalabrutinib;Venetoclax	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00066	Acalabrutinib;Vistusertib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC00067	Acasunlimab;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00068	Acimtamig;Pembrolizumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00069	Acitretin;Vemurafenib	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC00070	ACP319;Acalabrutinib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC00070	ACP319;Acalabrutinib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC00071	Adagrasib;Afatinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00072	Adagrasib;Avutometinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00073	Adagrasib;Batoprotafib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00074	Adagrasib;BI1701963	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00075	Adagrasib;Cetuximab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00076	Adagrasib;Durvalumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00077	Adagrasib;MRTX0902	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00078	Adagrasib;Nab-sirolimus	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00079	Adagrasib;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00080	Adagrasib;Olaparib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00081	Adagrasib;Palbociclib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00082	Adagrasib;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2|Phase 3
DC00083	Adavosertib;Durvalumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00084	Adebrelimab;Fuzuloparib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00085	Adebrelimab;Trastuzumab Rezetecan	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00086	ADG106;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00087	AEE788;Everolimus	DrugComb	FD00017	Glioma	Glioma	Phase 1|Phase 2
DC00088	Afatinib;Afatinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00089	Afatinib;Becotatug	DrugComb	FD00014	Esophageal Cancer	Esophageal Cancer	Phase 1
DC00089	Afatinib;Becotatug	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00090	Afatinib;Cetuximab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2|Phase 3
DC00091	Afatinib;Dasatinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00092	Afatinib;Intetumumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00093	Afatinib;Necitumumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00094	Afatinib;Nimotuzumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00095	Afatinib;Nintedanib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00096	Afatinib;Palbociclib	DrugComb	FD00014	Esophageal Cancer	Esophageal Cancer	Phase 2
DC00096	Afatinib;Palbociclib	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 2
DC00097	Afatinib;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00098	Afatinib;Ruxolitinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00099	Afatinib;Selumetinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00100	Afatinib;Sirolimus	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00101	Afatinib;Sotorasib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00102	Afatinib;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00103	Afatinib;Xentuzumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00104	Afatinib;XH30002	DrugComb	FD00014	Esophageal Cancer	Esophageal Cancer	Phase 1
DC00105	Afuresertib;Carfilzomib	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC00106	Afuresertib;Trametinib	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC00106	Afuresertib;Trametinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00107	Agatolimod;Erlotinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00108	Agatolimod;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00109	AGEN2373;Botensilimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00110	AK127;Cadonilimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Early Phase 1
DC00110	AK127;Cadonilimab	DrugComb	FD00033	Other Cancer	Other Cancer	Early Phase 1
DC00111	AL2846;Benmelstobart	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC00112	Aldesleukin;Bevacizumab	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 2
DC00113	Aldesleukin;Interferon alfa-2b;Vemurafenib	DrugComb	FD00026	Melanoma	Melanoma	Phase 1
DC00114	Aldesleukin;Ipilimumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC00115	Aldesleukin;Pembrolizumab	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 2
DC00115	Aldesleukin;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Early Phase 1
DC00115	Aldesleukin;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC00116	Aldesleukin;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00117	Aldesleukin;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00118	Aldesleukin;Vemurafenib	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC00119	Alectinib;Atezolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00120	Alectinib;Bevacizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00121	Alectinib;Cobimetinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00122	Alectinib;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
