dcid	tpid
DC01227	TP00001
DC00814	TP00002
DC00192	TP00003
DC00861	TP00004
DC00091	TP00004
DC00857	TP00004
DC00091	TP00005
DC00091	TP00006
DC00859	TP00007
DC00859	TP00008
DC00687	TP00009
DC00687	TP00010
DC01547	TP00011
DC01547	TP00012
DC00687	TP00013
DC00536	TP00014
DC01826	TP00014
DC01826	TP00015
DC00536	TP00015
DC00814	TP00016
DC00862	TP00017
DC00862	TP00018
DC00858	TP00019
DC00860	TP00020
DC00558	TP00021
DC00440	TP00022
DC01316	TP00023
DC01316	TP00024
DC01011	TP00025
DC00924	TP00026
DC00257	TP00026
DC00048	TP00027
DC00916	TP00028
DC00916	TP00029
DC00773	TP00030
DC01305	TP00030
DC01607	TP00030
DC01093	TP00031
DC01315	TP00031
DC01304	TP00031
DC01928	TP00031
DC01697	TP00031
DC00416	TP00032
DC00916	TP00033
DC00916	TP00034
DC01315	TP00035
DC01093	TP00035
DC01562	TP00035
DC00650	TP00036
DC00283	TP00037
DC00046	TP00038
DC00049	TP00038
DC01326	TP00039
DC01054	TP00040
DC01212	TP00040
DC00653	TP00041
DC01327	TP00041
DC00651	TP00042
DC01160	TP00042
DC01236	TP00042
DC01192	TP00042
DC00651	TP00043
DC01160	TP00043
DC01236	TP00043
DC01192	TP00043
DC00841	TP00044
DC01485	TP00045
DC00106	TP00045
DC01968	TP00045
DC01968	TP00046
DC00106	TP00046
DC01485	TP00046
DC01484	TP00047
DC00652	TP00048
DC00652	TP00049
DC00650	TP00050
DC00283	TP00051
DC00046	TP00052
DC00049	TP00052
DC01326	TP00053
DC01054	TP00054
DC01212	TP00054
DC00653	TP00055
DC01327	TP00055
DC00651	TP00056
DC01160	TP00056
DC01192	TP00056
DC01236	TP00056
DC01192	TP00057
DC01160	TP00057
DC00651	TP00057
DC01236	TP00057
DC00841	TP00058
DC01485	TP00059
DC00106	TP00059
DC01968	TP00059
DC01485	TP00060
DC01968	TP00060
DC00106	TP00060
DC01484	TP00061
DC00652	TP00062
DC00652	TP00063
DC00650	TP00064
DC00283	TP00065
DC00046	TP00066
DC00049	TP00066
DC01326	TP00067
DC01054	TP00068
DC01212	TP00068
DC00653	TP00069
DC01327	TP00069
DC00651	TP00070
DC01236	TP00070
DC01192	TP00070
DC01160	TP00070
DC00651	TP00071
DC01236	TP00071
DC01192	TP00071
DC01160	TP00071
DC00841	TP00072
DC01485	TP00073
DC00106	TP00073
DC01968	TP00073
DC01485	TP00074
DC01968	TP00074
DC00106	TP00074
DC01484	TP00075
DC00652	TP00076
DC00652	TP00077
DC01649	TP00078
DC00815	TP00079
DC00341	TP00080
DC00919	TP00080
DC00119	TP00080
DC00344	TP00080
DC00715	TP00081
DC00715	TP00082
DC00818	TP00083
DC00816	TP00084
DC00813	TP00084
DC00122	TP00084
DC00821	TP00085
DC00817	TP00085
DC00713	TP00085
DC00817	TP00086
DC00821	TP00086
DC00713	TP00086
DC01451	TP00087
DC00716	TP00088
DC00121	TP00088
DC00535	TP00088
DC00535	TP00089
DC00716	TP00089
DC00712	TP00090
DC00820	TP00091
DC00823	TP00091
DC00714	TP00091
DC00392	TP00092
DC00439	TP00093
DC00120	TP00093
DC00445	TP00093
DC01952	TP00094
DC01747	TP00095
DC01894	TP00096
DC01823	TP00097
DC01414	TP00098
DC01952	TP00099
DC00515	TP00100
DC01747	TP00100
