,tpid,tp_name,genename1,genename2,tp_moatype,tp_tcrd_tdl,gosemsinbp,gosemsincc,gosemsinmf,tp_keggpathways_no,tp_reactomepathways_no,tp_wikipathways_no,tp_associateddrugs_no,tp_associateddiseases_no,dcid,dc_name,dc_sourcetype,fdid,fd_name,md_name,maxphase
0,TP00001,ABCB1;CD33,ABCB1,CD33,CIT+CIT,Tchem+Tclin,0.245,0.663,0.325,0,0,0,1,1,DC01227,Gemtuzumab Ozogamicin;Zosuquidar,DrugComb,FD00021,Leukemia,Hematologic Malignancy,Phase 1|Phase 2
1,TP00002,ABL1;ALK,ABL1,ALK,CIT+CIT,Tclin+Tclin,0.479,0.358,0.653,1,0,1,1,2,DC00814,Crizotinib;Dasatinib,DrugComb,FD00017,Glioma,Glioma,Phase 1
2,TP00002,ABL1;ALK,ABL1,ALK,CIT+CIT,Tclin+Tclin,0.479,0.358,0.653,1,0,1,1,2,DC00814,Crizotinib;Dasatinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
3,TP00003,ABL1;CYP19A1,ABL1,CYP19A1,CIT+CIT,Tclin+Tclin,0.228,0.515,0.305,0,0,0,1,1,DC00192,Anastrozole;Saracatinib,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
4,TP00004,ABL1;EGFR,ABL1,EGFR,CIT+CIT,Tclin+Tclin,0.555,0.614,0.703,5,0,5,3,1,DC00861,Dasatinib;Osimertinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
7,TP00005,ABL1;ERBB2,ABL1,ERBB2,CIT+CIT,Tclin+Tclin,0.528,0.577,0.658,3,0,4,1,1,DC00091,Afatinib;Dasatinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
8,TP00006,ABL1;ERBB4,ABL1,ERBB4,CIT+CIT,Tclin+Tclin,0.495,0.647,0.687,1,0,1,1,1,DC00091,Afatinib;Dasatinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
9,TP00007,ABL1;ESR1,ABL1,ESR1,CIT+CIT,Tclin+Tclin,0.457,0.715,0.55,1,0,1,1,1,DC00859,Dasatinib;Fulvestrant,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 2
10,TP00008,ABL1;ESR2,ABL1,ESR2,CIT+CIT,Tclin+Tclin,0.34,0.634,0.541,1,0,1,1,1,DC00859,Dasatinib;Fulvestrant,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 2
11,TP00009,ABL1;FLT1,ABL1,FLT1,CET+CIT,Tclin+Tclin,0.446,0.475,0.638,1,0,4,1,1,DC00687,Cediranib;Dasatinib,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 2
12,TP00010,ABL1;FLT4,ABL1,FLT4,CET+CIT,Tclin+Tclin,0.488,0.609,0.633,2,0,2,1,1,DC00687,Cediranib;Dasatinib,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 2
13,TP00011,ABL1;JAK1,ABL1,JAK1,CIT+CIT,Tclin+Tclin,0.406,0.666,0.68,1,0,3,1,1,DC01547,Nilotinib;Ruxolitinib,DrugComb,FD00021,Leukemia,Hematologic Malignancy,Phase 1|Phase 2
14,TP00012,ABL1;JAK2,ABL1,JAK2,CIT+CIT,Tclin+Tclin,0.568,0.692,0.752,1,2,2,1,1,DC01547,Nilotinib;Ruxolitinib,DrugComb,FD00021,Leukemia,Hematologic Malignancy,Phase 1|Phase 2
15,TP00013,ABL1;KDR,ABL1,KDR,CET+CIT,Tclin+Tclin,0.545,0.583,0.66,1,0,3,1,1,DC00687,Cediranib;Dasatinib,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 2
16,TP00014,ABL1;MAP2K1,ABL1,MAP2K1,CIT+CIT,Tclin+Tclin,0.499,0.66,0.666,7,0,6,2,2,DC00536,Binimetinib;Nilotinib,DrugComb,FD00021,Leukemia,Hematologic Malignancy,Phase 1
17,TP00014,ABL1;MAP2K1,ABL1,MAP2K1,CIT+CIT,Tclin+Tclin,0.499,0.66,0.666,7,0,6,2,2,DC01826,Ponatinib;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
18,TP00015,ABL1;MAP2K2,ABL1,MAP2K2,CIT+CIT,Tclin+Tclin,0.338,0.661,0.675,7,0,6,2,2,DC01826,Ponatinib;Trametinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
19,TP00015,ABL1;MAP2K2,ABL1,MAP2K2,CIT+CIT,Tclin+Tclin,0.338,0.661,0.675,7,0,6,2,2,DC00536,Binimetinib;Nilotinib,DrugComb,FD00021,Leukemia,Hematologic Malignancy,Phase 1
20,TP00016,ABL1;MET,ABL1,MET,CIT+CIT,Tclin+Tclin,0.502,0.364,0.644,5,0,2,1,2,DC00814,Crizotinib;Dasatinib,DrugComb,FD00017,Glioma,Glioma,Phase 1
21,TP00016,ABL1;MET,ABL1,MET,CIT+CIT,Tclin+Tclin,0.502,0.364,0.644,5,0,2,1,2,DC00814,Crizotinib;Dasatinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
22,TP00017,ABL1;MKNK1,ABL1,MKNK1,CIT+CIT,Tchem+Tclin,0.313,0.698,0.683,0,0,1,1,1,DC00862,Dasatinib;Tinodasertib,DrugComb,FD00019,Hematologic Malignancies,Hematologic Malignancy,Phase 1
23,TP00018,ABL1;MKNK2,ABL1,MKNK2,CIT+CIT,Tchem+Tclin,0.384,0.704,0.683,0,0,0,1,1,DC00862,Dasatinib;Tinodasertib,DrugComb,FD00019,Hematologic Malignancies,Hematologic Malignancy,Phase 1
24,TP00019,ABL1;MTOR,ABL1,MTOR,CIT+CIT,Tclin+Tclin,0.507,0.723,0.692,3,0,6,1,1,DC00858,Dasatinib;Everolimus,DrugComb,FD00017,Glioma,Glioma,Phase 2
25,TP00020,ABL1;PDCD1,ABL1,PDCD1,CET+CIT,Tclin+Tclin,0.267,0.249,1.0,0,0,0,1,2,DC00860,Dasatinib;Nivolumab,DrugComb,FD00021,Leukemia,Hematologic Malignancy,Phase 1
26,TP00020,ABL1;PDCD1,ABL1,PDCD1,CET+CIT,Tclin+Tclin,0.267,0.249,1.0,0,0,0,1,2,DC00860,Dasatinib;Nivolumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
27,TP00021,ABL1;SMO,ABL1,SMO,CIT+CIT,Tclin+Tclin,0.423,0.548,0.449,2,0,1,1,1,DC00558,BMS833923;Dasatinib,DrugComb,FD00021,Leukemia,Hematologic Malignancy,Phase 2
28,TP00022,ABL1;VEGFA,ABL1,VEGFA,CET+CIT,Tclin+Tclin,0.529,0.483,0.479,4,0,3,1,1,DC00440,Bevacizumab;Dasatinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
29,TP00023,ADAM10;MS4A1,ADAM10,MS4A1,CIT+CIT,Tchem+Tclin,0.338,0.587,0.524,0,0,0,1,1,DC01316,INCB7839;Rituximab,DrugComb,FD00024,Lymphoma,Hematologic Malignancy,Phase 1|Phase 2
30,TP00024,ADAM17;MS4A1,ADAM17,MS4A1,CIT+CIT,Tchem+Tclin,0.352,0.646,0.486,0,0,0,1,1,DC01316,INCB7839;Rituximab,DrugComb,FD00024,Lymphoma,Hematologic Malignancy,Phase 1|Phase 2
31,TP00025,ADORA2A;AR,ADORA2A,AR,CET+CIT,Tclin+Tclin,0.444,0.452,0.522,0,0,0,1,1,DC01011,Enzalutamide;Imaradenant,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
32,TP00026,ADORA2A;CD274,ADORA2A,CD274,CET+CET,Tclin+Tclin,0.369,0.473,1.0,0,0,0,2,1,DC00924,Durvalumab;Imaradenant,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
34,TP00027,ADORA2A;CYP17A1,ADORA2A,CYP17A1,CET+CIT,Tclin+Tclin,0.126,0.41,0.262,0,0,0,1,1,DC00048,Abiraterone;Imaradenant,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
35,TP00028,ADORA2A;EGFR,ADORA2A,EGFR,CET+CIT,Tclin+Tclin,0.417,0.541,0.601,2,0,1,1,1,DC00916,Duligotuzumab;Etrumadenant,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1|Phase 2
36,TP00029,ADORA2A;ERBB3,ADORA2A,ERBB3,CET+CIT,Tclin+Tclin,0.473,0.573,0.658,1,0,0,1,1,DC00916,Duligotuzumab;Etrumadenant,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1|Phase 2
37,TP00030,ADORA2A;NT5E,ADORA2A,NT5E,CET+CIT,Tchem+Tclin,0.18,0.537,0.518,0,0,0,3,1,DC00773,Ciforadenant;Mupadolimab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
40,TP00031,ADORA2A;PDCD1,ADORA2A,PDCD1,CET+CET,Tclin+Tclin,0.284,0.483,1.0,0,0,0,5,4,DC01093,Etrumadenant;Zimberelimab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
41,TP00031,ADORA2A;PDCD1,ADORA2A,PDCD1,CET+CET,Tclin+Tclin,0.284,0.483,1.0,0,0,0,5,4,DC01093,Etrumadenant;Zimberelimab,DrugComb,FD00040,Soft Tissue Sarcoma,Other Cancer,Phase 2
45,TP00031,ADORA2A;PDCD1,ADORA2A,PDCD1,CET+CET,Tclin+Tclin,0.284,0.483,1.0,0,0,0,5,4,DC01928,Spartalizumab;Taminadenant,DrugComb,FD00024,Lymphoma,Hematologic Malignancy,Phase 2
46,TP00031,ADORA2A;PDCD1,ADORA2A,PDCD1,CET+CET,Tclin+Tclin,0.284,0.483,1.0,0,0,0,5,4,DC01928,Spartalizumab;Taminadenant,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 2
48,TP00032,ADORA2A;TIGIT,ADORA2A,TIGIT,CET+CET,Tbio+Tclin,0.136,0.516,0.684,0,0,0,1,1,DC00416,Belrestotug;Inupadenant,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
49,TP00033,ADORA2B;EGFR,ADORA2B,EGFR,CIT+CIT,Tclin+Tclin,0.347,0.457,0.532,2,0,0,1,1,DC00916,Duligotuzumab;Etrumadenant,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1|Phase 2
50,TP00034,ADORA2B;ERBB3,ADORA2B,ERBB3,CIT+CIT,Tclin+Tclin,0.414,0.659,0.63,1,0,0,1,1,DC00916,Duligotuzumab;Etrumadenant,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1|Phase 2
51,TP00035,ADORA2B;PDCD1,ADORA2B,PDCD1,CET+CIT,Tclin+Tclin,0.213,0.648,1.0,0,0,0,3,2,DC01315,INCB106385;Retifanlimab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
53,TP00035,ADORA2B;PDCD1,ADORA2B,PDCD1,CET+CIT,Tclin+Tclin,0.213,0.648,1.0,0,0,0,3,2,DC01093,Etrumadenant;Zimberelimab,DrugComb,FD00040,Soft Tissue Sarcoma,Other Cancer,Phase 2
55,TP00036,AKT1;AR,AKT1,AR,CIT+CIT,Tchem+Tclin,0.484,0.775,0.465,3,0,3,1,1,DC00650,Capivasertib;Enzalutamide,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 2
56,TP00037,AKT1;CD274,AKT1,CD274,CET+CIT,Tchem+Tclin,0.384,0.584,1.0,1,0,1,1,2,DC00283,Atezolizumab;Ipatasertib,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 2
57,TP00037,AKT1;CD274,AKT1,CD274,CET+CIT,Tchem+Tclin,0.384,0.584,1.0,1,0,1,1,2,DC00283,Atezolizumab;Ipatasertib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
58,TP00038,AKT1;CYP17A1,AKT1,CYP17A1,CIT+CIT,Tchem+Tclin,0.144,0.434,0.241,1,0,2,2,2,DC00046,Abiraterone;Capivasertib,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 3
59,TP00038,AKT1;CYP17A1,AKT1,CYP17A1,CIT+CIT,Tchem+Tclin,0.144,0.434,0.241,1,0,2,2,2,DC00049,Abiraterone;Ipatasertib,DrugComb,FD00035,Pancreatic Cancer,Pancreatic Cancer,Phase 3
61,TP00039,AKT1;CYP19A1,AKT1,CYP19A1,CIT+CIT,Tchem+Tclin,0.244,0.491,0.255,0,0,3,1,1,DC01326,Ipatasertib;Letrozole,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1
