canonical_smiles	0	1	2	3	4	5	6	7	8	9
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	-0.9285191	-0.12771747	0.059853796	0.49311054	0.48314923	0.95566714	-0.8446328	0.25034466	0.02545999	1.1700977
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	0.35288894	-1.6120374	-1.3149467	1.5491747	-2.629011	-0.72000647	0.6924369	-1.2862782	-0.59506345	-1.1231256
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N4CCN(CC4)c5ccccc5)S(=O)(=O)c6cccc7cnccc67	-0.86453146	0.7023777	-0.7846217	0.059741974	-0.5293109	2.119671	-0.30534837	0.33182698	-0.5388763	-0.600404
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.1263323	0.74072623	0.34430966	1.1998768	-0.038823605	-0.26831603	-0.91039336	0.6838116	0.03646384	1.4084786
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.3664589	-0.60261273	0.37046975	1.7325596	0.0120716095	1.0774156	-1.8535718	0.45271665	1.9155328	0.8756831
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.2100656	1.4218366	0.5744338	0.9990143	0.23467943	0.44812372	1.0395424	-0.21907774	0.26056507	1.4551052
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.3410661	-1.4022431	0.10756324	1.4631244	-0.087741494	0.26629174	-0.503545	0.65809643	-0.4466547	0.745852
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.6395905	1.9323422	0.08896248	1.2950282	0.2751694	0.056967195	1.9950756	0.30568463	-0.19907713	-0.53470147
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.2441428	0.043166414	0.011479735	1.513305	0.17101938	1.1300436	-0.8531854	-0.17136772	-0.40273863	0.5190427
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.1151872	0.668063	-0.8895866	1.5093315	0.49888885	-0.56315154	-2.0669785	0.8152222	-0.051384572	-0.26262066
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	-1.5872933	0.3221915	-0.40615228	1.1212685	0.43071756	-1.0559484	0.24036282	-0.08477608	0.44569767	-0.19031234
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	0.6116636	-0.1053448	-1.722611	-0.5827096	-0.07632178	-0.21639274	1.9350079	-0.5425685	-0.427745	0.15774894
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	-1.6005543	1.271238	0.06969379	0.7120335	1.6477726	1.0954967	-0.15755312	0.94037914	0.3743235	-0.5523406
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	0.4925025	-2.5398848	-1.7134559	1.7792453	-3.1133409	0.02711828	0.61871284	-1.4365834	-1.235085	-1.066978
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	0.25822768	-0.993174	-1.0490565	-0.9554682	0.1523874	-1.0576464	-2.1022289	-0.039296746	0.30270725	-0.8203702
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	-0.11280139	-0.593134	-1.3619959	2.0682273	-2.052567	-0.09345391	-0.5122031	-0.54024893	0.84064555	-0.71480775
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-1.2201266	-0.0029054657	0.79934424	0.778456	0.6567441	-0.08238532	-1.0601795	0.118945	2.1699083	-0.051461305
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.93906486	1.2067218	0.5082359	1.3724303	0.18988526	-0.20891756	1.4593842	0.18917482	-0.44180685	-1.2322087
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-1.4884243	0.19260901	0.8484272	1.2696593	0.37652025	-1.1779331	-0.13581964	1.0969224	-0.54362226	-0.9711591
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.732723	0.3177776	0.42924276	1.2714156	0.113548994	-0.7407136	0.41768456	-1.1061075	-1.3115664	-0.075368166
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.9495529	0.88522977	-0.029925242	1.145998	0.22858667	0.33109638	0.40805107	0.4507683	0.48163855	-0.23148844
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.55865544	-1.3471076	-1.4866952	-0.16089955	0.22316551	0.20986187	-0.44269168	0.12382518	-0.7419464	0.5762782
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-1.1857983	0.6465566	0.52154666	1.3774929	0.57502943	-0.46528196	1.4518945	0.7949984	-1.4872413	-1.0130332
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-1.1584202	0.5413838	0.53951734	1.4047426	1.9319661	0.74330115	0.50660026	-0.96840566	-0.39566642	0.8179733
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.7963004	-0.96426606	0.4794566	2.2930667	0.5170932	-0.7458666	1.0609788	-0.64856887	-0.33878252	0.391013
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-1.025288	0.5969471	0.33775103	1.5624106	0.2649767	-0.24807283	0.13631132	0.6072271	1.4994239	-0.5229275
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.89076173	-0.25434792	0.22825107	1.4682957	0.2520261	0.11319809	0.19811806	1.33682	0.64533454	0.11597571
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.38138193	-0.22925422	-0.7922775	0.5509417	-0.026786327	0.4411136	0.52511364	-0.7898319	0.85111207	1.0487323
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.5941498	-1.8871825	-1.2810414	1.1508645	-1.9104438	0.09299812	0.5687763	-0.44134706	-0.45502895	-0.5528619
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.5161082	-0.39909863	-1.2023075	1.7562567	-2.6206703	0.6359143	-0.575408	-0.75342566	0.0958198	-1.384775
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-1.4576223	0.651911	0.4294123	1.5899727	-0.34293395	-0.48801756	0.31495595	0.96917516	0.5362401	0.6932873
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-1.5317408	0.294303	0.38691226	1.2499814	0.78219855	0.4891802	-0.22926237	-0.13329262	0.7265836	0.6104995
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-1.714343	-0.20072708	0.2955353	2.125895	0.9005134	0.47552192	1.2130946	0.28699255	1.0473396	0.81246674
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-1.2895913	0.97465193	0.0807817	2.110629	-0.08383179	-0.75868607	-0.23916239	-0.5813625	-0.098245084	0.07762841
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-1.825915	0.08725761	-0.45063138	0.91242236	0.45751035	-0.5666708	-0.40463877	1.1142719	0.7160385	-1.7162752
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-0.9643216	0.6498681	-0.6536695	1.0790919	0.5801025	-1.4663606	0.8768759	1.2000073	-0.26701602	-0.6661256
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	-0.8144873	-0.98355895	-0.9444658	0.9459356	-0.29620326	-1.019307	1.1302216	0.15223946	0.14391583	-0.93909365
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1	-1.3168886	-0.47445524	0.06170725	1.8655136	0.21697497	1.1929303	0.6878592	1.2023442	1.6057185	0.913241
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1	0.14392152	-0.52459985	-0.7373322	0.60882205	1.237312	0.3162034	-0.50867903	0.91109645	0.5762804	1.1205485
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-1.34646	-0.09635715	0.29521912	1.7479671	0.39348957	-1.3819599	0.33031642	0.47762674	1.1811106	-0.18904811
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-1.3673486	0.3396384	0.3465662	1.9850174	0.19248515	0.59234923	1.3147174	0.30313537	0.78292996	2.4689004
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-1.1513344	0.26881605	0.26837063	0.6981609	0.6491659	-0.32914808	-0.19868001	-0.34919253	0.15862934	0.28599685
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-2.0536058	0.8065209	0.24443404	2.1076455	1.038645	1.2222831	-0.94429123	1.3881614	0.87987316	1.5209466
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-1.5166955	1.0752937	0.11141127	1.4680116	0.6785993	-0.76504076	0.28969526	-0.16068998	0.69448674	0.2200239
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-1.4472762	0.13335735	-0.24195322	1.1286678	0.16157958	0.4560287	-0.11302449	-0.040824905	1.1247213	-0.57277983
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	0.06904757	1.274026	-1.1311495	-0.77216184	0.82593036	1.6470135	0.507084	0.5430934	-0.8916329	0.14781196
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-0.98288924	0.48625946	0.39421707	0.6406461	0.8794476	-0.2504891	1.0551493	-0.44106296	-0.7462869	-0.4698648
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-1.221288	2.0525997	0.42221737	0.73694086	0.5470956	0.333232	0.8113235	0.49885082	0.21075487	-0.13135566
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-1.4215438	-0.17527072	0.7251425	1.36082	0.40619802	0.42572948	0.2178407	0.12150921	1.7225897	-1.0321046
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-1.16755	0.44632253	0.78771496	0.6909106	1.8100554	0.82607913	-0.59653854	0.67188686	0.6597327	-1.4350152
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-1.8092899	1.7061751	-0.20383164	1.1923096	1.1192064	1.0835696	-0.015081737	0.5907755	-0.088383496	1.4206365
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-1.5134926	0.77049816	0.15078843	1.0114006	0.09359878	0.5576584	1.4156462	-0.13948417	1.1511347	-0.25214237
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-1.0168157	-0.45012677	-0.76302075	0.7850156	0.18160862	-1.1889	-0.008280441	0.9324967	0.28298205	-0.5631889
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	0.4104762	-1.6314993	-1.6928585	2.2130167	-2.8586235	0.34136185	0.16485122	-1.2432766	-0.4823281	-1.0175741
COc1ccc(cc1)S(=O)(=O)N(CCO)c2ccccc2CN(C)C/C=C/c3ccc(Cl)cc3	-1.30463	0.10331181	0.1887131	1.7009329	1.0360225	0.79288185	0.71829253	-0.21950155	0.5847486	0.93859065
COc1ccc(cc1)S(=O)(=O)N(CCO)c2ccccc2CN(C)C/C=C/c3ccc(Cl)cc3	0.09760088	0.055752262	-0.7017935	-0.74962604	-0.36616445	-0.66483796	0.75655603	1.6575944	-0.5734323	-0.32757843
Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	-1.126218	0.04718799	0.5883498	1.1303213	0.81122345	-0.08008923	-0.53753316	-0.024513014	0.7375667	-0.15415692
Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	-1.5180068	0.44842374	0.8573204	0.43817702	0.40829343	1.1673956	0.6594186	-0.54425186	-0.81547946	0.6059273
Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	-1.0870657	-0.98320496	0.7819614	0.38621238	0.63876814	0.13553748	1.4861611	-0.043914467	-1.8257205	0.114507705
Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	-0.8881328	0.5802516	0.5694936	1.5490069	0.88018435	0.52443534	-0.6811178	-1.0914142	-1.5954175	-2.3477094
Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	-1.3118044	1.4200877	0.3491743	1.2151688	1.1844345	-1.1782277	-0.69827104	-0.28596735	0.39499605	-0.60840106
Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	-1.2940899	-0.8663435	0.709796	0.8818711	0.96505755	3.0727425	1.919175	-0.8470024	1.741931	-0.13101128
Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	-1.0262486	-1.5096374	0.35518086	1.5499043	1.00754	0.090691015	-1.2486676	0.09618811	0.10884019	0.735223
Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	-1.1492592	0.49298584	-0.0902092	1.808286	0.3352776	0.66993296	-0.23262711	-0.59307444	1.4144022	0.60708416
Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	-0.74299175	0.58774567	0.50979394	0.09050417	0.7855633	0.43087828	-0.23117545	0.029207617	-0.3199995	0.7330848
Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	-0.5591716	1.4173478	-1.3683813	0.39016548	1.6920745	-0.63688827	-0.50719714	0.7942111	-0.6022885	-1.1209481
Oc1ccc(cc1O)c2oc3c(O)c(O)cc(O)c3c(=O)c2O	-0.9435988	0.55069304	-1.0058632	1.3912882	-0.21247625	0.50224805	-1.1439185	0.31043762	2.0972884	-0.06621663
Oc1ccc(C(=O)c2cc(O)c(O)c(O)c2)c(O)c1O	-1.1521776	0.5662329	-0.9698261	1.7502425	0.17120588	-1.7095183	0.83742315	1.2476935	0.021680236	1.0265534
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	-2.488086	-0.04525286	0.7424569	-2.2728279	-0.07346077	-0.51324874	1.1577666	0.5578221	-0.42949307	1.4368356
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	-2.7447429	-0.2628255	0.75247884	-2.245647	0.058442395	-0.8276506	0.28510857	-0.19829622	0.54882634	2.5226595
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	-2.5121748	-0.37613446	0.63911873	-2.3794637	-0.06275732	-0.3613016	1.542549	0.3634973	0.14748934	1.0580996
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	-1.2168866	0.4874358	0.64949566	1.1978401	0.74131364	1.3158815	1.2043023	0.17178774	-1.6173553	0.37462386
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	-2.3506129	-0.3152101	0.91143036	-1.7518089	-0.18378441	-2.330407	1.911473	0.019147992	0.5053362	0.6466563
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	-2.4395814	-1.0927254	0.15954083	-2.3555427	-0.23623347	-0.52605605	0.8415616	0.00048211217	0.68941474	1.9930295
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	0.6095204	-1.2101527	-1.4046351	-3.5905328	-0.29946816	0.5429817	1.2834692	1.5587336	-0.1136626	-1.1452086
CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC	-0.9920891	0.18244243	-1.1810796	-0.4635076	1.6625409	0.6174779	0.1237195	0.4544953	-0.56496227	0.103570215
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-0.38560784	-0.9833608	0.86806786	0.007323265	1.9317523	0.083322376	0.09524605	-1.0459495	0.16783817	1.2654686
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-1.0529759	1.516335	0.6741271	0.912802	1.052698	-0.2015442	-0.5080122	-0.2674166	-1.5876255	0.67407554
