canonical_smiles	0	1	2	3	4
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	-1.1786911	0.5335788	-1.3118079	-1.1685559	1.0574566
CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	1.1338613	-1.2920804	3.2241993	0.65561664	-0.41160777
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N4CCN(CC4)c5ccccc5)S(=O)(=O)c6cccc7cnccc67	-0.60142505	-0.8545246	1.2868338	-1.45266	0.34808713
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.4708283	0.8132157	-1.9646467	0.8836583	1.7995323
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.40214485	0.8260374	-1.8511709	0.9954073	1.2627441
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.2844855	0.23331603	-1.5818547	2.1576748	1.1036474
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.4689949	0.7633864	-1.565595	-0.29525003	1.313417
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.017814	0.688318	-1.394015	-0.7993207	1.9739004
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-1.2383142	0.15701617	-0.938754	0.8253974	0.57442415
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	-0.7865494	-0.7736173	0.21218976	-0.6993621	0.8934935
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	-1.7484212	0.42031425	-0.7645536	1.1764991	1.4767462
COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	0.3776953	-1.0479302	-1.3500245	-0.084306344	-0.20619524
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	-1.7122033	0.8809187	-1.5583706	0.16821381	1.8654387
COc1ccc(/C=C/C(=O)CC(=O)\C=C\c2cccc(O)c2OC)cc1O	1.8368235	-1.1792656	3.2637038	0.14896256	-0.87844527
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	-0.09531996	-0.8732718	0.9919883	-2.081438	0.5466493
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	0.23004374	-1.379804	2.8226402	0.7797586	-0.16414642
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.71909636	0.91631746	-1.9862597	1.17885	1.1136149
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.24910077	0.45528919	-1.5077145	-0.880455	0.9748737
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.85782	1.2711866	-1.6262089	0.21589577	0.41388
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.67041934	0.9776088	-1.5491668	0.98254514	0.9679165
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	-0.95936453	0.11111368	-1.2559252	0.094560415	1.2650757
O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	0.10606995	-1.2618653	0.82874763	0.5675235	0.12025896
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.7921251	0.73412746	-1.2098167	0.6442213	1.4487945
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.3423005	1.0835843	-1.5263501	-0.060432076	1.3337989
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-1.1457895	0.7659613	-1.3380746	1.4099718	1.3275329
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-0.48454493	0.9334631	-1.4080184	-0.35605216	1.9625313
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-1.6116842	0.52291435	-0.68857074	0.8779379	1.756517
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	-1.2069985	-0.27756786	0.121331215	0.8352434	0.78898203
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.7029317	-1.3440789	2.111157	0.52218026	0.32220903
CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	0.3888724	-0.98147446	2.9275787	1.895338	-0.46836627
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-1.0138848	0.7890311	-1.668495	0.06520507	1.3971474
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-1.6131759	0.7644786	-1.7493532	1.0107595	1.3589135
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-0.9707429	0.4317829	-1.3857158	0.75702333	1.289959
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-1.387452	0.32908094	-1.4100684	1.0478837	1.0324804
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-1.8344371	0.28588942	-0.5488299	0.70637745	1.3506306
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	-1.0096115	-0.99386656	0.7551698	1.7264355	0.45378983
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	-1.232152	-1.5830559	1.1377196	0.59191686	0.32759118
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1	-1.8423979	0.3079035	-1.6218412	-0.020842727	1.9955003
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1	-0.56185293	-1.6523606	0.13648562	-0.07999776	0.67243636
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-1.550594	0.65716076	-1.2305602	-0.6366296	1.9496233
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-1.308612	1.1383212	-1.2771118	0.47038817	2.0358717
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-0.56926286	0.72509265	-1.7201747	0.6172365	0.6081572
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-1.6231766	0.80236393	-1.4535044	-1.1218908	1.2774212
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-1.5431075	0.7773218	-1.4091927	-0.023519129	1.6475928
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	-1.1046652	0.016844213	-0.91184545	-0.81334466	1.3722754
N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	0.82730925	-0.61992997	-0.002905786	-1.0136359	1.0265466
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-0.31472594	0.9956946	-1.5375171	-0.092446595	1.1748009
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-0.5294081	0.7628418	-1.2383869	-0.35810685	0.7809486
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	-0.62053347	1.2835339	-1.1158084	-0.30258527	0.9771976
