	node_0	node_1	node_2	node_3	node_4	node_5	node_6	node_7	node_8	node_9
DDR1	0.03280104753659494	0.01541231938384107	0.007059787825277656	0.016720336771078714	0.024063767291431396	0.00919009551132093	0.008049503919436022	0.013491189919806619	0.00868224845109354	0.01061882849906922
PAX8	0.004923228863173937	0.010282650120872074	0.005098184667537019	0.010499703942516146	0.008092438785484957	0.006879873396424684	0.01171935158686506	0.009540003374725088	0.008308041125161448	0.005970481669197783
RPS5	0.015427898383259805	0.012496474404066156	0.005191680362719717	0.015729568761099145	0.012507476181495423	0.008782319007941707	0.007600694718862181	0.011214129008708475	0.006984223801085122	0.0067760026999313
ABCF1	0.030126543547480292	0.011568690586791322	0.005737684860900857	0.011431773988762934	0.019361822603180284	0.005963421168322619	0.007729806977634408	0.008985625978242763	0.007338228283369301	0.009131194435076354
SPAG7	0.019196794558991547	0.011169850745896635	0.005033048346363522	0.012283908257223796	0.01437950007066635	0.00578708034690445	0.00509873512788391	0.00880812684054733	0.005867269178420778	0.006158605598444469
RHOA	0.008679924199250235	0.010079851045940356	0.0056902944642388716	0.012582343865430536	0.008156290841849092	0.004332352423304766	0.009656049832262646	0.012688744513883266	0.009909799854730119	0.005406278427619568
RNPS1	0.012791346023326766	0.006653754951575232	0.00425413532678961	0.008179890530712934	0.009873329922130582	0.004220411991596865	0.008736983197558758	0.008348378078253445	0.007797605940775548	0.006067458939325493
SMNDC1	0.0032875723309476698	0.005604183430303219	0.0027327719655768027	0.00504087801299908	0.004617853555375899	0.003380385042574435	0.0033156006096640685	0.006044484573530731	0.004820519251431201	0.0025162107288770777
ATP6V0B	0.01292248337484863	0.01430299371481788	0.005123761593169065	0.014275472300790537	0.009760727081872155	0.007108623032499676	0.00905269197132608	0.011851056750672596	0.007507173120111349	0.005825511357493692
RPS6	0.006592372872402594	0.002625619943593721	0.0016477124663087594	0.0033020194337506407	0.004625506406606716	0.0020356824608889533	0.002412855947181133	0.002621441054346612	0.0024222970434162813	0.0027126489661966225
USP22	0.01210659033132367	0.007863244161307369	0.004854179521839842	0.008784780152351035	0.009880805643697779	0.006036617698011944	0.010067029123005349	0.00887578944776263	0.008276587803966827	0.006568742266920198
APP	0.018171958174260792	0.006815547320799874	0.004310976258046187	0.00881440182222174	0.012802582677137492	0.004150788111467312	0.008377922962667216	0.0073676175733187335	0.007293727684799662	0.006542035180139492
CLTC	0.021700344420801942	0.02946156835867354	0.013239610396970301	0.035213400733214544	0.0272367597030392	0.01756968018186949	0.015966409106987	0.029519423010998882	0.01813475451202485	0.016157183482872577
MLEC	0.017937902246713856	0.010531898561497947	0.005195827023369664	0.01025134739598025	0.013784554033221813	0.004817570322625574	0.007714358626997948	0.008076585527959567	0.006658921709257504	0.006587176692232055
CSRP1	0.07205628540632736	0.07495507930042308	0.060960289804105505	0.11971896430396385	0.10898922938307347	0.05769470332214049	0.07907633416477207	0.10339407294415082	0.09910742867246936	0.19800782925419083
CALM3	0.032852760836138487	0.012180576709181068	0.006219896052841698	0.012713366348333584	0.021887129986413355	0.006989995482158253	0.00828851094411933	0.010548354719698479	0.007920011177223286	0.010718298555928114
PTPRF	0.03952590217183027	0.013687860893275191	0.007010331684581393	0.01735197251340589	0.025702321010984134	0.00940877696309105	0.010400003074889858	0.012134010268607682	0.008854535316174987	0.01155030872849512
DNAJB1	0.059647968799523284	0.08176170727409394	0.06894984283747631	0.1266365879943027	0.10467590305387048	0.06283666450977572	0.084523024464813	0.11636693298214738	0.10794190990608059	0.2180914944303586
XBP1	0.005452513131125773	0.009705834248688682	0.0049237622960062325	0.010050476250299896	0.009203300429649593	0.005525821528794052	0.008969253315598391	0.01159658577172903	0.008474626033939952	0.010310535019530912
GRN	0.0059674829181603885	0.005408558107130164	0.003498343059935215	0.008831010229072386	0.007430359250045965	0.003345723425453182	0.0036503996777022445	0.009550702343030293	0.006011491822420327	0.0056757309525024575
HK1	0.022864161289845787	0.02378493696950493	0.01164623113616672	0.024742808905892828	0.0226597203284058	0.013055254866186786	0.02157137281150009	0.0250709578091733	0.01741071931825796	0.014273826613335072
KDELR2	0.017794083972139312	0.01069425659135809	0.0054488441856286604	0.013063247876657186	0.01406399002777033	0.006074400270177398	0.009468283645494768	0.014284524106844105	0.009101964215201147	0.006850749320799074
SKP1	0.03777140317924355	0.01846589645781452	0.008127654350630583	0.017762026183666586	0.02460251564238334	0.010704972146371073	0.01550803426405302	0.018672073699335386	0.013509612076268968	0.012847743151391623
CAPN1	0.05547592550972943	0.02296563834890108	0.014134771591571855	0.0308843010467743	0.038655634554769135	0.02139460388094373	0.020934713196631163	0.028283700549478392	0.023060153865647328	0.02380728545100969
CALU	0.0060971979089842875	0.005877334044763127	0.0029085477340349587	0.006783135493747459	0.005383148052808962	0.003132319402203297	0.0063413500868932365	0.006974260243804773	0.004649376605894795	0.003118154657785169
CTSD	0.0193647708144209	0.006284469971648369	0.0034538724540648935	0.00799567017809351	0.013456703058106314	0.004101392795127231	0.005120085419451523	0.005995901625571216	0.004994995174057004	0.006212530478184006
MAT2A	0.014522981991515074	0.024778373318143896	0.010706821621670273	0.035233769517069594	0.01861270917761679	0.014002503512353293	0.011169238550552062	0.025491971976691844	0.012189841493882561	0.010496133432127753
STMN1	0.022490600139496084	0.015610951592977457	0.00794890362632953	0.01712628901217637	0.018261382405841808	0.009106564571811361	0.009715450059974167	0.015133594731737659	0.011758608289407491	0.010550666535911635
ECH1	0.014227476033877631	0.004560886311722002	0.0029585368817490808	0.006160127283754498	0.00938599655640521	0.002980614628942851	0.004238304959404133	0.005239408955827175	0.004351557613265875	0.004661433372405867
IQGAP1	0.01893800532488707	0.010788682865098837	0.005710476362109963	0.013459657765792088	0.013557525850489006	0.009632180132795933	0.009695228746174978	0.010510468379310235	0.006724980574615516	0.007826129536021041
HSPA1A	0.012242304728633479	0.016799387614924426	0.007075658593763519	0.02501873434743605	0.01367859854839782	0.00973004455735377	0.010502740858124159	0.017864463585260185	0.010142226912314336	0.005874933260787062
HSPD1	0.012732697965543353	0.01029841217976462	0.0055366243970080865	0.01675712299019029	0.011411383473102275	0.005901087094051168	0.00609241118247887	0.015115430696408274	0.009644721858112323	0.007512792331249973
CIRBP	0.006863909195821212	0.008381927213150602	0.004552810504332591	0.012600277109950502	0.008746952914020625	0.006095204475484634	0.00490311883038744	0.011080095399412826	0.007224103742570187	0.004954985186483867
PSME1	0.004261305310669648	0.006399080641046285	0.0033790579268499444	0.009457287860234134	0.005930874112147844	0.004620840021019504	0.008113066465287373	0.007677582459625324	0.006452676664664748	0.004808758217185009
PAFAH1B1	0.03805548374451651	0.012933720326780942	0.006456039365935161	0.014395944612413487	0.025879468056449022	0.009298226826024084	0.00861612928204845	0.011193621187424717	0.008700493665108984	0.011134949427245418
HYOU1	0.04360266913424251	0.013024209515193584	0.00725112659766509	0.016945407452743578	0.028403517639799227	0.010264915480774184	0.009357752939002588	0.012901469485703662	0.008681747455838969	0.013119032315310798
PSMD2	0.06971321340637408	0.0660209197437993	0.04797410071732205	0.18681171543024674	0.09086733901814795	0.07468967866584522	0.07433933448211712	0.08791382482262931	0.055858182808971105	0.061265406131056965
EPRS	0.008192357021370767	0.01154434390905512	0.006041948167322217	0.010945340013406767	0.008187837176805416	0.003974711015834141	0.008352254030605872	0.01160901909585089	0.009216979572889543	0.005355703743871178
PSMD4	0.008987052057221192	0.00991286184017713	0.006036229510003768	0.012483138566911087	0.00979101187728697	0.005868050700175215	0.005184301715929901	0.013302820245326847	0.00988523009225305	0.006020064286413728
PGAM1	0.009318480879088127	0.006297312228948193	0.0025363532674556404	0.008153032195786891	0.006676621028501641	0.004212059948189767	0.00535714125872211	0.006694658772636184	0.003961171982549467	0.005647288307185891
STAT1	0.017160022086727608	0.009610676701822479	0.00589602743024965	0.012975583074864676	0.015013895021664368	0.0059931689201150745	0.008525344393595116	0.011734427223053859	0.008410842518688155	0.007989589390438073
FKBP4	0.01719147491711489	0.004622924699027966	0.0031586048887181878	0.006891958839658646	0.011203013617431307	0.004471619013509276	0.008253340829072368	0.00568389952878312	0.005628685908548483	0.0060630070017037175
KTN1	0.018933907345832193	0.010602212296018324	0.0051014266763768756	0.008069507502246472	0.013038345546792908	0.0045716236736852095	0.006408310783333466	0.007057173949605005	0.006213486784428592	0.006524935036065081
TMED10	0.005200263796250699	0.007334809964296819	0.004343705856026049	0.010418118716807662	0.006937946178420123	0.003196344573521635	0.004173170377533888	0.009808997921850207	0.007136530740763256	0.004124730559994871
ALDOA	0.058946836858330236	0.051352294315008866	0.04618774338931432	0.15073943766732356	0.08013532244364305	0.07299638459744806	0.07240692474054553	0.07528930874589372	0.04991956541497948	0.06432061379593491
TSPAN3	0.005651766634764011	0.011753316251169228	0.005689458893628341	0.012034759712837703	0.0077849973495851274	0.008814290813818567	0.006879984947468621	0.012145084555734927	0.008357736980769845	0.006356121655983242
GNAS	0.02917518348046604	0.04099898040703477	0.018734214059620613	0.059378204914563734	0.03813031478202965	0.02230180247166075	0.017415039541511072	0.0440791681348686	0.02384202099708405	0.019488787274327835
HIF1A	0.01494759691454571	0.006445816026993737	0.0036744756996320645	0.009350300974423287	0.0099193193731554	0.004007462792753252	0.004756728676165965	0.006956117093991766	0.005568428900527212	0.005792883757442606
AARS	0.00620727061364096	0.00768622140460597	0.0037333894872785146	0.0064992230166381415	0.004784969039591707	0.003042985261983947	0.005194174983644763	0.005632764702220376	0.004753521722369865	0.0027151115715912436
RPN1	0.012729014929869787	0.004422305298363502	0.0030259673404574756	0.005897574927169091	0.009028219737486418	0.003188411018503253	0.006443234429387308	0.00573569444240111	0.0054317612283924736	0.005332762598022438
PAICS	0.03083327740625658	0.01679354152281851	0.007747715006357893	0.018698519958145778	0.021476766464775865	0.011299859792414591	0.01619698200040715	0.019049584460898307	0.012646358344496239	0.011306980557948388
BLCAP	0.005767412053787129	0.007465819434118583	0.00446226436492781	0.009557566491377194	0.005154879970529008	0.0031722441910423393	0.004327559032498611	0.009859592466775953	0.007103977407312779	0.002844575140562518
HADH	0.016439017815709996	0.008586720895025388	0.004759409246227422	0.009184513447557639	0.012179183715572618	0.005273869853325604	0.007493900112845546	0.007642249796844601	0.006686132050388866	0.006052290656653897
GNAI2	0.01878567486137386	0.01219698309556047	0.0059017286387151565	0.014762698204557625	0.01433908568652329	0.00731682497500731	0.006848117421669117	0.01342725455916069	0.008626372203755471	0.009355428810816937
PSMF1	0.030164991882748512	0.011422248153366676	0.005688501299740944	0.014191285427644971	0.018725201785052603	0.007463432602118941	0.00713862596438718	0.009979379012635566	0.0069462074401897955	0.008816683349346122
MYL9	0.057608868834887084	0.02115186965816571	0.010883155929675578	0.02673275349424511	0.03989629749768089	0.015802040051954364	0.016890296972777937	0.02212429906933666	0.015446076425548202	0.018969178803256975
MMP2	0.06473427725846873	0.02263014281993771	0.010932862196668358	0.02625028762126447	0.041588963659780855	0.015417643637304893	0.015856087369647068	0.021424164356768007	0.013857240482983636	0.018820677146663883
SMARCC1	0.008175351068093044	0.008394644428966664	0.005034318104718645	0.010521136731207657	0.007426997917993505	0.0035053545641999173	0.00480235943674162	0.01118196144094717	0.0078946759061753	0.003618387511791925
TM9SF2	0.014462547203591428	0.009453417496378376	0.005269741200767854	0.011912430910727962	0.012070089299598465	0.005386314319531753	0.007093290822130742	0.013428575078509124	0.008536943184131049	0.008231009916270057
PIP4K2B	0.007807882582144696	0.017824096631055074	0.008291234348443168	0.016271723621605047	0.009483021125550335	0.007341322717189367	0.007872000484194433	0.013571057641306753	0.00977764069556022	0.005541517630732704
PXN	0.021500629236284246	0.008321177200645343	0.004595668900070665	0.008462518160716862	0.013068612524734197	0.005026155097276192	0.008044846690901318	0.0074658565320937275	0.00691743332903393	0.0070997970978012226
COPB2	0.018258742067349905	0.013231141883614947	0.006975222757010472	0.015962426016840496	0.013497469880992579	0.005660771640879259	0.006947057270832018	0.013727519793875508	0.009825953157098359	0.0061840384994276566
PFKL	0.008039541529782443	0.008956979914734264	0.004804047551353583	0.010698072229169976	0.007319596307709921	0.007001862593872781	0.00625390857004306	0.011413370174928357	0.007291364836624958	0.004689907662670587
PGRMC1	0.008737287028815103	0.004638592687252117	0.0031790414465860174	0.0054442216986631715	0.005600903610064284	0.0026732782406051277	0.0049120735595052254	0.0058068496721414755	0.004991492272320322	0.0038078402056795635
ITGB5	0.00608613106008948	0.00887975797649737	0.0043350212668157575	0.009425402433298891	0.008358792748757293	0.0055506758238249515	0.007059675593825054	0.009174014723510003	0.006823366636870422	0.005912267560064856
PLP2	0.013928411777450682	0.009540365424587513	0.0065605712604250715	0.015518058187123809	0.010961016298574731	0.006102728106711807	0.009838531030822072	0.01398170778904035	0.011190815236559066	0.007734458214470655
NFE2L2	0.017003409795192513	0.013858217136166884	0.00717940385034722	0.012159599622249188	0.011657237229388905	0.008903174658504957	0.012055798153435403	0.010740314523676174	0.008774369778950528	0.007273777015921768
MBNL1	0.005146539650647239	0.010044492512976901	0.0050688764562117385	0.009228727976048151	0.006239526030275383	0.004602466568686672	0.00481661430778755	0.00940655877726925	0.0065874540226682115	0.0035572076958461283
NMT1	0.020132966260500734	0.016472494941290234	0.00727766698989733	0.015328488230416822	0.014899353144764009	0.007586193391070932	0.010863566690041265	0.014825264282746041	0.011000604643602665	0.00791350368329949
BHLHE40	0.027993219711793218	0.012650428431726866	0.007329686046914743	0.015451769126430911	0.021567460224549372	0.011681131713524284	0.010311367955581702	0.015518942148457542	0.011035805999151495	0.012734136570131772
TERF2IP	0.01832381040244276	0.007025253662018112	0.004079686168763284	0.008481209989244209	0.01420589017731263	0.004854335009946384	0.006513753100368403	0.008132730884170353	0.007142560334637687	0.008035915103788212
FBXO7	0.005136562325403173	0.00648372185025287	0.003999166866097593	0.008190340100793272	0.007072811862005025	0.004367599009788011	0.004312402725975179	0.009604205757493342	0.006748455582301712	0.007285301747724704
HTRA1	0.04448178385211814	0.014474568960404409	0.007975491461113687	0.016909758168797976	0.029640837139948768	0.01251513046771222	0.01372038873144198	0.013724996290585857	0.009977979113470085	0.013538223492426045
LRPAP1	0.005422203286943696	0.007825088108558975	0.004443038619762379	0.010163320734932077	0.00661750393039323	0.0036519141914015986	0.006299866915037853	0.009941811890958658	0.0067059674937952314	0.0037769869374865636
CREG1	0.0044792227795460125	0.006526646440199504	0.003784008358074023	0.008196031013954535	0.0057280384761007495	0.002869268990135505	0.003393115063863516	0.007626629078905793	0.005910677303433631	0.0036382090506884082
PCNA	0.006406474901860132	0.002324896287652091	0.0016273921478808795	0.0036079135533315975	0.004608354713267302	0.002461073579791805	0.004369969754151027	0.003514209015274976	0.0030811597128076146	0.0031040526834620547
LGMN	0.016143689287840948	0.01646400180067287	0.0070375289797903135	0.01750249413597891	0.013738998989579594	0.00807970906600057	0.0062897603784789575	0.012092056532037411	0.007918199933756153	0.006268480630888316
ILK	0.0051839430884935015	0.004785148753416566	0.003250102052839041	0.005959323960074826	0.004031257369187604	0.0024303638364227315	0.00639773918208424	0.006111807217495026	0.004791660815494059	0.0027197159229168876
ATP1B1	0.008229942326400853	0.004559420028599504	0.002738496280232428	0.0056878017858364265	0.0062334500436561635	0.002823007326153933	0.006327238336737414	0.00621255122557196	0.004983336535353691	0.0047077532272012685
SYPL1	0.01347917484637317	0.007193888089616494	0.004139784905425367	0.007083180974191128	0.009435309975363796	0.003458027040902899	0.005720032026761955	0.006353966701344142	0.005798472361145682	0.004989833667038754
TXNRD1	0.007215287240035543	0.004692932441690499	0.002295827460940272	0.00510674441541117	0.006028167231373442	0.002576123997656251	0.002915522914921599	0.0039251979532306325	0.003222130640837776	0.0032217186746196004
NUDCD3	0.015623325659242465	0.006853325908678162	0.0037122588552173374	0.010033856103575286	0.012118236904970226	0.004650925268955488	0.005805625962181398	0.010130580814001942	0.006014944977887479	0.00699767132357877
TOP2A	0.005618631349849207	0.005760642612320691	0.0027219848631409873	0.008884425077722805	0.005781908317337497	0.004144090815039182	0.00782992281161945	0.0075719566309238595	0.005017930592505398	0.00525890764429133
STK25	0.017688792030047952	0.006024091459911636	0.0038536274618698185	0.007941786042679758	0.01212496695069389	0.003905095730011311	0.005063298489802471	0.007230292699359919	0.006060913426464344	0.00660372664944278
EBNA1BP2	0.0074384464783286515	0.006622202984989362	0.0032569029747995045	0.009345234798131765	0.007044330501428825	0.004002634706696201	0.003868834100421711	0.010058062770087596	0.005584458631095436	0.00677331010678846
ARHGEF12	0.023544609086471165	0.01724619830569265	0.008208782940391117	0.020383860728812667	0.017598836562778806	0.018469389113385623	0.019581847329967192	0.01658970176389381	0.013374214159747655	0.013401162809858777
SCP2	0.01213572666076118	0.011761166851397593	0.004880908522407491	0.013195218489019729	0.008470541664692093	0.006221079216181438	0.005398753422788652	0.00999418661544058	0.006296112850163016	0.005560195841502109
YME1L1	0.02116099650022385	0.021092880558570632	0.008503868229288485	0.02424473035327848	0.011093677837879014	0.013905529241287089	0.01389134967259364	0.018748294375493697	0.013664062765541067	0.009273102367550483
TMEM109	0.012749790872727701	0.009000663559242216	0.0049122562562928344	0.009531627138196191	0.010004767412418302	0.00559108413947294	0.0055600618161057705	0.00859923752921418	0.007021136470557287	0.00563693500312605
TPD52L2	0.007556700129437079	0.004781043720969814	0.002979872282381585	0.004362517576162098	0.005308969025903603	0.004727447292072323	0.009126267515461042	0.004863757442422518	0.004179332109462995	0.005066940937008805
CRTAP	0.005095485161482712	0.011651392584502126	0.005845628177018842	0.01326339897446313	0.006152543414992999	0.006987414629065664	0.008949659965479922	0.012817565150622537	0.00850215337630714	0.004752379453329069
TRAP1	0.008432481043736948	0.005863700291318456	0.0031025685535886528	0.008630333871335367	0.00645327445587166	0.0034355742354824667	0.0043724052345691065	0.0076251325740699484	0.005221971822493197	0.004063005916596407
IGF2R	0.02901360658365059	0.012132903078945257	0.006275315309939903	0.014100842804859898	0.020247051260739043	0.0070999499493987475	0.0075387951842332684	0.010507246048659331	0.007764167454713664	0.008710428697585596
PHGDH	0.005067780923862764	0.010305955096069587	0.004186996600899218	0.011658536530080976	0.005987145364248621	0.005627195009510232	0.0062340394010041095	0.01011686648493629	0.00658626902699408	0.0033888371896301406
LRP10	0.006855790554420147	0.009103785599990526	0.00491849473248439	0.010150582470434443	0.008012000328110433	0.004178472981548808	0.005661685747059715	0.011996235415991605	0.008737164422104683	0.007531096919882331
SOX4	0.009797154815582666	0.009045080840760176	0.006310506308935432	0.010998317204938298	0.010319460335325175	0.0052476305597294465	0.00703087067349359	0.012949888297139153	0.010735504296779984	0.009271207764630555
CAT	0.003079295703472693	0.007265814493071901	0.003571791335969393	0.006104157161292738	0.004907583910374836	0.007160560865145187	0.013866352300987407	0.007281814840880584	0.006684602328355245	0.00479554405300846
RHEB	0.010668783667950148	0.0035365812761924188	0.002568390496307977	0.0057035551937803354	0.007187758696224682	0.0028276755209220663	0.005270453400730561	0.004989685888296518	0.004382750899555334	0.004152895866340806
MAPKAPK2	0.019301546891608363	0.009850450895389754	0.007283073785745401	0.015894449951347825	0.013966474585707496	0.006150148421623986	0.01110245310895232	0.015661149970870678	0.012284811506512188	0.007902814575752514
SCRN1	0.016341201527749722	0.009966645912092651	0.004745875990178721	0.009116553232204148	0.0111526906965274	0.0055508351379109045	0.005495536025205829	0.007464542290297862	0.0060089094413054035	0.005294294119405922
JUN	0.04161094810282056	0.015752365272671275	0.007879941360502008	0.01747019379637026	0.02585181721919967	0.009409709161131834	0.012892435054909265	0.012739252716938291	0.010051451448031271	0.01230189731824754
SHC1	0.018072424920212726	0.009356714519400037	0.005310061732615845	0.014142819536250073	0.010931216216178532	0.005099129109983502	0.00571926103195096	0.010085480587370152	0.007176015049603927	0.005473645653328157
SQSTM1	0.00804370931002262	0.011900492805405198	0.0053242318867912745	0.017738172891880753	0.007990552287533056	0.006657313426762609	0.005555064047031758	0.012679798298992457	0.006787720406319292	0.005937690268658418
PRCP	0.016011338483160803	0.011924519137750184	0.005797620494551191	0.01295053210799274	0.013588518769796899	0.006492391498844061	0.005834065049791441	0.011626777077155955	0.008519429168664348	0.006967277890739474
USP7	0.007066584196784608	0.011348486931332044	0.005772810570700771	0.012669888987381842	0.0079114432506914	0.006866043595548104	0.0057928010526065755	0.013223205216340397	0.009367355966940414	0.0061874271048447975
NFKBIA	0.012077647156854315	0.01798139993565916	0.007853617694187845	0.027122347957859984	0.01350987269966047	0.01049934600579571	0.010618300362156595	0.02104913035542679	0.012104153828522323	0.008599765161794826
G3BP1	0.03364135886367548	0.013807009834203264	0.0068614220649936535	0.016086299540245423	0.02350810323175665	0.007995351133124842	0.008064657370767348	0.013718812660340536	0.008834988993662111	0.01045928817909073
TOMM70A	0.007471029881019097	0.009746348802232033	0.0048613003618772285	0.01009656927596492	0.008255514013286499	0.007319911551847179	0.01336358427768934	0.010865673221132867	0.00810765120460933	0.005568416781421727
RPA1	0.009060064284578513	0.006322844853368587	0.0038676486514953004	0.006647135527594586	0.00745134389267708	0.0031578866965947692	0.00495647922505881	0.007525108089929646	0.005918319695510311	0.00498332663845532
ZFP36	0.035091448894921	0.01259025439729392	0.00664012394353133	0.014727441964905228	0.024450611858195092	0.007461305927461911	0.01193254484648178	0.010961305101219202	0.009099696481891887	0.011087725913871051
DUSP3	0.007940078789737435	0.008479330751326314	0.0055790652270390345	0.014474659142054522	0.011006341962748805	0.005172426506866647	0.00574527874803137	0.01364020144383406	0.008552024477883493	0.007011658851244625
KDM5B	0.017781975812266933	0.017131854949206368	0.0073035898525547005	0.01642338451988959	0.014209750658477172	0.009578357265928282	0.007915563991750058	0.01178791847579741	0.007750386186607919	0.007203973274274442
MCM3	0.019855419879324782	0.008095179384966828	0.004310040650468971	0.011189761593906875	0.013379928434501401	0.00504823601862889	0.00860423936885219	0.007976053864021419	0.006558046979015592	0.006441906057539608
CLIC4	0.11613949532009851	0.10309811042746021	0.09175486501641919	0.10443811986135065	0.18008671898786666	0.047603083836122544	0.13685370370164554	0.201398043920367	0.2202709324872884	0.1055622760920696
CLSTN1	0.008314344270447088	0.012347662948576586	0.0060513142120445585	0.011539489836846885	0.006614747935951873	0.00542100724772738	0.008924808416966953	0.009887092066537798	0.007227252535121155	0.003958858883615045
ID2	0.03148383232629257	0.013619151287754155	0.007529130534717429	0.015739616494193594	0.02407033438415527	0.008791554079418002	0.01289433428025688	0.015316576554148122	0.011395517631953688	0.01160089672017126
DCTD	0.01587396243633196	0.013184899210193078	0.007344980643573334	0.017741444652382768	0.016459093816478837	0.006226600841639078	0.006752683274437695	0.01531645627493065	0.011272388575756576	0.007673474373852942
FAT1	0.004953469788185142	0.009976814127602308	0.004876064205026957	0.010842483708461257	0.005762634992945585	0.005387684925753236	0.004923835608269695	0.01120455434062632	0.007690189004340482	0.0034031333512194915
SMC1A	0.006124151453051635	0.01054458786642812	0.004969676428501992	0.007563036484586747	0.007837065391045403	0.007719177540388862	0.006468648962151832	0.0102508996780479	0.009056336973678409	0.005388775311096973
NISCH	0.00747930769502689	0.011274082834306701	0.0049861112705128835	0.010144989469078654	0.006622676360678326	0.005378302986621402	0.005956779395922374	0.007951518384216705	0.005620469916336642	0.0038681137643470664
PWP1	0.01660124122996071	0.014987349122916336	0.009679298434570258	0.024616671082380033	0.015142751573206353	0.007012788454649941	0.008500873905413521	0.02087370421200964	0.015437850621564018	0.0076581297422882826
