	node_0	node_1	node_2	node_3	node_4
DDR1	0.008919034304349389	0.021335447775638595	0.014952096076280454	0.009521923602149316	0.016989984940706273
PAX8	0.008172889765859937	0.004276545799203578	0.005973252492368969	0.006786111701966834	0.006568115800659759
RPS5	0.011253441849263178	0.009679950998448445	0.009272428210389086	0.007484469049556244	0.009595473988133532
ABCF1	0.006032903326470854	0.019617731856146667	0.012500575528975072	0.006839680008542256	0.012185511442586337
SPAG7	0.008582865694340686	0.012905600200678227	0.010445314283453905	0.006877819384716313	0.008444231591661168
RHOA	0.004328169480528944	0.006973862284751821	0.006214497238660404	0.008233436550257048	0.015462506621237774
RNPS1	0.003838596625714225	0.008506508750977615	0.0064026842406158515	0.005012108242431975	0.008583146291220808
SMNDC1	0.003722492573464468	0.0027660387872110656	0.0034908058629737307	0.0035060637944345687	0.0050996549274354664
ATP6V0B	0.012621883449506939	0.008009836013477913	0.00774769418277196	0.007699469460003309	0.01024298696421522
RPS6	0.0018970013848126463	0.004431719767858207	0.003078017865325567	0.00196148243985954	0.0028849216563771583
USP22	0.004712769028315262	0.008198679282245332	0.00686360773723318	0.005588170386462966	0.008096485993620657
APP	0.00397900351982695	0.011692912636048205	0.00775057137824926	0.005204783409206253	0.00871540739217573
CLTC	0.02042331314841367	0.017090777735204725	0.019088131820994544	0.018146430934960676	0.03375570077197286
MLEC	0.006785645712943622	0.012102618081850095	0.010481652416372259	0.006435731253655097	0.007967173278762259
CSRP1	0.04861478492382166	0.07863741451832128	0.17690720675799	0.05931754660905402	0.08102203340357848
CALM3	0.006950478656010352	0.021161241582762294	0.013522338196538844	0.007238734453352471	0.014600392638417586
PTPRF	0.010596666279880021	0.025016381964895227	0.015649088520984206	0.008908667797417738	0.016947896645156234
DNAJB1	0.04912265906132873	0.07514201848666903	0.19310322548487535	0.06136273959811192	0.08904225017261666
XBP1	0.008419393844200216	0.004569710098836128	0.007778499817970122	0.006878776130280296	0.011428960315439668
GRN	0.003374393688551951	0.0040704666757217815	0.004446106532246652	0.005542951268454401	0.012147963600289814
HK1	0.01764310437198545	0.015368012735153945	0.015443445718443492	0.01605128450726308	0.029813355248983223
KDELR2	0.007496283623406863	0.012083886002987126	0.009129138819588574	0.008834712416299689	0.01866093001481173
SKP1	0.014567493650695668	0.02478320753239018	0.01659343782994412	0.010787410393264819	0.02246695117261669
CAPN1	0.019092000785483294	0.03870363142991107	0.02572593610255529	0.019791301897600828	0.029699806432746632
CALU	0.004580597254365067	0.004130438418079728	0.00416395771690778	0.004589762316055862	0.008474695988215158
CTSD	0.0040252587077381895	0.012593142132528825	0.008488442971962358	0.004830752668618843	0.007791403669906907
MAT2A	0.020597562172253565	0.012412648549977756	0.01501707915792397	0.016880788082904996	0.02995532564595078
STMN1	0.012082596238900059	0.015311240031601977	0.013659455885490219	0.010047656626897918	0.012791374408529062
ECH1	0.0028972372326825893	0.009266636893982699	0.006269015412078733	0.003914919387429488	0.005649058092607805
IQGAP1	0.007942827237877417	0.012591484538826777	0.008417809855334683	0.0069006655037515486	0.012546699145014403
HSPA1A	0.014613704125459582	0.008106988322818916	0.00956030228831401	0.01151629534790128	0.021994881124511527
HSPD1	0.00692052594938899	0.008301506305114992	0.0071909598592624965	0.009271148455716867	0.020253062744896008
CIRBP	0.006316826306826736	0.004940941902510817	0.004913133732210701	0.006843587258824929	0.014173854039493306
PSME1	0.005592362861906187	0.0033352628541715268	0.004104908261499717	0.004571281478903715	0.009760471165033157
PAFAH1B1	0.0073557900946199265	0.024276830023449332	0.016239838377642857	0.00886945422225904	0.016560259596265524
HYOU1	0.007950668013259325	0.028080207423134607	0.01762301057579796	0.010032061692400954	0.01809321150368269
PSMD2	0.07070972022655664	0.07100422659956002	0.08059732233931652	0.06598820989528255	0.1702509017607437
EPRS	0.004504334682367304	0.0064559585659365705	0.007236735177625219	0.008104088282315012	0.013492072998068937
PSMD4	0.00460951647401491	0.0077695555332800495	0.0053139880402694505	0.007840904849826476	0.016751814103530927
PGAM1	0.004860044864184651	0.006028795038706119	0.004594667455945875	0.003867226730910461	0.006879255904578394
STAT1	0.006059090261534741	0.01158898903934719	0.009160511091354302	0.007591611452888899	0.016097034130959035
FKBP4	0.0037426225689284292	0.011236092118780959	0.007235488886076404	0.0040766572875746135	0.006963205097102093
KTN1	0.003924004900899281	0.012288031898279327	0.009367896591322977	0.0055216660251637345	0.008222565795188994
TMED10	0.0036795667964266403	0.004678317824434689	0.004070366498519157	0.006247027776155583	0.01430094847774916
ALDOA	0.10067157452191475	0.049839087070957626	0.07235649636041093	0.052287982231474	0.09374874115875115
TSPAN3	0.008935531625797643	0.004230570023335591	0.0064123067173363565	0.007484507490658333	0.01231774047436595
GNAS	0.033105027807912114	0.021318931163588465	0.026446656695907726	0.02977461696598889	0.059705550801458576
HIF1A	0.004934800368192076	0.009455222247071671	0.006054879308227939	0.004718888285717591	0.006997218702502861
AARS	0.004903397426688633	0.004816490744402979	0.004554576441498018	0.004167930051374666	0.005051492577351396
RPN1	0.0030966892516326363	0.008381196269897303	0.006138142324075075	0.003980409042548272	0.005338159836979462
PAICS	0.014942219532950789	0.02005540342408384	0.014247764136936295	0.011984010844988036	0.022074567880233226
BLCAP	0.003584419649422003	0.005238355685171494	0.0042659771794585025	0.006685215067086615	0.012567717141647242
HADH	0.005509914913420592	0.01085560334858509	0.00745377477217599	0.0056937344957907745	0.00758162906017834
GNAI2	0.011581431669032307	0.011658870087571344	0.009834200300436987	0.009745351793690429	0.01357337571176544
PSMF1	0.00885564898376482	0.019233892780013934	0.011780615203854091	0.007123345610989413	0.012232501603592337
MYL9	0.011478167038095954	0.03749584527890512	0.025063727248869988	0.015486562344000587	0.03103085603333528
MMP2	0.017641711487410495	0.04121749318338344	0.026786461371700463	0.015090340881610162	0.02974565668149584
SMARCC1	0.0044036161106301985	0.006835917449729888	0.0055534291228468416	0.007537349400100459	0.01302569034202611
TM9SF2	0.007042700632522349	0.009556997037876361	0.007855210757470605	0.008540337162956976	0.01656025007057904
PIP4K2B	0.0127514985131066	0.0049269904301446855	0.008493737325727058	0.010596536087885397	0.012699327178717048
PXN	0.004638838899631409	0.014266999047659832	0.00911241634043034	0.00546117652355872	0.008829842938315303
COPB2	0.006044178290584048	0.012943473025162659	0.008427423654931583	0.009091556097320442	0.016975877793091856
PFKL	0.007332926866418332	0.005400756928376009	0.005233360326180239	0.0070721040321203256	0.012999444250472506
PGRMC1	0.002560894223051296	0.006063257020622674	0.004537062238035661	0.004069196949694289	0.00551829771839147
ITGB5	0.007832890386277451	0.00432257132519969	0.0073354615383067374	0.0062005071660476245	0.0069139981299966525
