,SMILES,Label,ID,split
1572,Brc1c(ccc2c1nccn2)NC1=NCCN1,1,1572,Train
1004,C#CC1(O)CCC2C1(C)CCC1C2CCC2=Cc3c(CC12C)cno3,0,1004,Train
3388,C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O,1,3388,Train
1107,C=CCN1CC(CC2C1Cc1c[nH]c3c1c2ccc3)C(=O)N(C(=O)NCC)CCCN(C)C,1,1107,Train
1072,CC#CC1(O)CCC2C1(C)CC(c1ccc(cc1)N(C)C)C1=C3CCC(=O)C=C3CCC21,1,1072,Test
2298,CC(=O)OC1C(=O)C2(C)C(O)CC3C(C2C(C2(C(C1=C(C)C(OC(=O)C(C(c1ccccc1)NC(=O)c1ccccc1)O)C2)(C)C)O)OC(=O)c1ccccc1)(CO3)OC(=O)C,1,2298,Train
1432,CC(=O)OCC(CCn1cnc2c1nc(N)nc2)COC(=O)C,1,1432,Train
1130,CC(CC1C(=O)N2CCCC2C2(N1C(=O)C(O2)(NC(=O)C1CN(C)C2C(=C1)c1cccc3c1c(C2)c([nH]3)Br)C(C)C)O)C,1,1130,Train
2064,CC(CCc1ccccc1)NCC(c1ccc(c(c1)C(=O)N)O)O,0,2064,Train
1112,CC(COc1c(C)cccc1C)N,1,1112,Test
3355,CC(Cn1cnc2c1c1ccccc1nc2N)C,1,3355,Train
2309,CC(N(C(C)C)CCC(c1ccccn1)(c1ccccc1)C(=O)N)C,0,2309,Train
2740,CC(OC(=O)C(Oc1ccc(cc1)C(=O)c1ccc(cc1)Cl)(C)C)C,1,2740,Test
2691,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,0,2691,Train
2360,CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(=O)(=O)N,1,2360,Train
1110,CCC(NC(=O)C1CN(C)C2C(=C1)c1cccc3c1c(C2)c[nH]3)CO,1,1110,Test
959,CCC1(O)C(=O)OCc2c1cc1-c3nc4ccc(c(c4cc3Cn1c2=O)CN(C)C)O,1,959,Train
1138,CCC1(OCCc2c1[nH]c1c2cccc1CC)CC(=O)O,0,1138,Train
2703,CCC1=C(C)CN(C1=O)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCC(CC1)C,0,2703,Train
2156,CCCCCOC(=O)Nc1nc(=O)n(cc1F)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)C,1,2156,Train
1396,CCCCNc1cc(cc(c1Oc1ccccc1)S(=O)(=O)N)C(=O)O,0,1396,Train
1269,CCCN(CCC)CCc1cccc2c1CC(=O)N2,1,1269,Test
1020,CCCNCC(COc1ccccc1C(=O)CCc1ccccc1)O,1,1020,Train
609,CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c1c[nH]c2c1cc(cn2)c1ccc(cc1)Cl)F,1,609,Test
1631,CCCc1nc(c(n1Cc1ccc(cc1)c1ccccc1c1n[nH]nn1)C(=O)OCc1oc(=O)oc1C)C(O)(C)C,0,1631,Train
1607,CCCc1nc2c(n1Cc1ccc(cc1)c1ccccc1C(=O)O)cc(cc2C)c1nc2c(n1C)cccc2,1,1607,Train
1475,CCN(CC(=O)Nc1c(C)cccc1C)CC,1,1475,Train
2875,CCN(CCNC(=O)c1cc(Cl)c(cc1OC)N)CC,1,2875,Train
2840,CCN(CCOC(=O)C1(CCCCC1)C1CCCCC1)CC,1,2840,Train
2282,CCOC(=O)C(NC1CCc2c(N(C1=O)CC(=O)O)cccc2)CCc1ccccc1,0,2282,Test
1031,CCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1Cl)Cl)C(=O)OC)C,0,1031,Test
3005,CCOc1ccccc1O[C@@H](c1ccccc1)[C@H]1OCCNC1,1,3005,Train
1075,CCc1ccc(nc1)CCOc1ccc(cc1)CC1SC(=O)NC1=O,1,1075,Train
1727,CCc1nn(c(=O)n1CCOc1ccccc1)CCCN1CCN(CC1)c1cccc(c1)Cl,1,1727,Train
2673,CN(CCC=C1c2ccccc2OCc2c1cccc2)C,1,2673,Train
2758,CN(CCCN1c2ccccc2CCc2c1cc(Cl)cc2)C,1,2758,Train
137,CN(c1ccc2c(c1)nn(c2C)C)c1ccnc(n1)Nc1ccc(c(c1)S(=O)(=O)N)C,0,137,Train
135,CN(c1ccc2c(c1)nn(c2C)C)c1ccnc(n1)Nc1ccc(c(c1)S(=O)(=O)N)C,0,135,Train
132,CN(c1ccc2c(c1)nn(c2C)C)c1ccnc(n1)Nc1ccc(c(c1)S(=O)(=O)N)C,0,132,Train
136,CN(c1ccc2c(c1)nn(c2C)C)c1ccnc(n1)Nc1ccc(c(c1)S(=O)(=O)N)C,0,136,Train
134,CN(c1ccc2c(c1)nn(c2C)C)c1ccnc(n1)Nc1ccc(c(c1)S(=O)(=O)N)C,0,134,Test
133,CN(c1ccc2c(c1)nn(c2C)C)c1ccnc(n1)Nc1ccc(c(c1)S(=O)(=O)N)C,0,133,Train
138,CN(c1ccc2c(c1)nn(c2C)C)c1ccnc(n1)Nc1ccc(c(c1)S(=O)(=O)N)C,0,138,Test
1163,CN1C2CCC1CC(C2)OC(=O)c1c[nH]c2c1cccc2,1,1163,Train
1406,CN1CCN(CC1)C1=Nc2ccccc2Oc2c1cc(Cl)cc2,1,1406,Test
2051,CN1CCN(CC1)Cc1ccc(cc1)C(=O)Nc1ccc(c(c1)Nc1nccc(n1)c1cccnc1)C,1,2051,Train
1115,CN1CCN2C(C1)c1ccccc1Cc1c2nccc1,1,1115,Test
2639,CNC(=CN(=O)=O)NCCSCc1ccc(o1)CN(C)C,0,2639,Train
2141,CNC(=O)c1nccc(c1)Oc1ccc(cc1)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl,1,2141,Test
2998,CNCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F,1,2998,Test
2609,CNCCCC12CCC(c3c1cccc3)c1c2cccc1,0,2609,Train
1595,CNCC[C@@H](c1cccs1)Oc1cccc2c1cccc2,1,1595,Train
1730,CNCCc1ccccn1,0,1730,Train
1256,CNNCc1ccc(cc1)C(=O)NC(C)C,0,1256,Train
3155,COC(=O)C(c1ccccc1Cl)N1CCc2c(C1)ccs2,1,3155,Test
1097,COCCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1)N(=O)=O)C(=O)OC(C)C)C,0,1097,Train
2049,COCCOc1cc2c(ncnc2cc1OCCOC)Nc1cccc(c1)C#C,0,2049,Train
2963,COCCc1ccc(cc1)OCC(CNC(C)C)O,0,2963,Train
2189,COc1cc(ccc1OCCCN1CCC(CC1)c1noc2c1ccc(c2)F)C(=O)C,1,2189,Train
1078,COc1cc2c(cc1OC)CC(C2=O)CC1CCN(CC1)Cc1ccccc1,1,1078,Train
3008,COc1cc2c(cc1OC)CCN1C2CC(=O)C(C1)CC(C)C,0,3008,Train
2048,COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,1,2048,Train
1087,COc1ccc(cc1)C(C1(O)CCCCC1)CN(C)C,1,1087,Train
1153,COc1ccc(cc1C(CNC(=O)CN)O)OC,1,1153,Test
3270,COc1ccc(cc1C12CC3CC(C2)CC(C1)C3)c1ccc2c(c1)ccc(c2)C(=O)O,0,3270,Train
2270,COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,1,2270,Train
1095,COc1ccc2c(c1)[nH]c(n2)S(=O)Cc1ncc(c(c1C)OC)C,1,1095,Train
1195,COc1ccccc1OCC(CN1CCN(CC1)CC(=O)Nc1c(C)cccc1C)O,1,1195,Train
985,COc1ccccc1OCCNCC(COc1cccc2c1c1ccccc1[nH]2)O,0,985,Train
1627,COc1nc(C)nc(c1NC1=NCCN1)Cl,1,1627,Train
2171,C[C@H](c1cccc2c1cccc2)NCCCc1cccc(c1)C(F)(F)F,0,2171,Test
3343,Cc1ccc(c(c1)OCCCC(C(=O)O)(C)C)C,0,3343,Train
603,Cc1ncn(c1)c1cc(NC(=O)c2ccc(c(c2)Nc2nccc(n2)c2cccnc2)C)cc(c1)C(F)(F)F,1,603,Train
602,Cc1ncn(c1)c1cc(NC(=O)c2ccc(c(c2)Nc2nccc(n2)c2cccnc2)C)cc(c1)C(F)(F)F,1,602,Train
1750,Cc1onc(c1)C(=O)NNCc1ccccc1,1,1750,Train
1034,ClC(C(c1ccccc1Cl)c1ccc(cc1)Cl)Cl,1,1034,Train
1334,ClCCN(c1ccc(cc1)CCCC(=O)O)CCCl,1,1334,Test
