Label,Smiles,Dataset
1,CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15)C(O)(CC)C(=O)OC4,training
1,CN1C(=O)CN=C(c2ccccc2F)c3cc(ccc13)[N+](=O)[O-],training
1,[NH-]C1CCCCC1[NH-],training
1,CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCC(O)C5=N1,training
1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc23)c1C,training
1,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)[C@H](C)[C@@H](OC3OC(C)CC(C3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,training
1,CN[C@@H]1CCc2[nH]c3ccc(cc3c2C1)C(=O)N,training
1,CCC12CC(=C)C3C(CCC4=CC(=O)CCC34)C1CC[C@@]2(O)C#C,training
1,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1OCCO,training
1,Cc1cc(cc(C)c1Oc2nc(Nc3ccc(cc3)C#N)nc(N)c2Br)C#N,training
1,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)c5ccc(cc5)N(C)C,training
1,N#Cc1ccc(cc1)C(c2ccc(cc2)C#N)n3cncn3,training
1,COC(C(Oc1nc(C)cc(C)n1)C(=O)O)(c2ccccc2)c3ccccc3,training
1,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,training
1,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n2ccnc2,training
1,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,training
1,COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,training
1,Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4,training
1,CN1CCC[C@@H]1Cc2c[nH]c3ccc(CCS(=O)(=O)c4ccccc4)cc23,training
1,C[N+]1(C)C2CC(CC1C3OC23)OC(=O)C(O)(c4cccs4)c5cccs5,training
1,CNC(=O)c1ccccc1Sc2ccc3c(C=Cc4ccccn4)n[nH]c3c2,training
1,CCN(CC)CC(=O)Nc1c(C)cccc1C,training
1,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,training
1,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4,training
1,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@@H](C)[C@H]3N(CCCCn4cnc(c4)c5cccnc5)C(=O)O[C@]13C)OC,training
1,COc1cc(ccc1OCCCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)C,training
1,C1NCC2CC1c3cc4nccnc4cc23,training
1,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,training
1,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4,training
1,Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4,training
1,Nc1nc(F)nc2c1ncn2C3OC(COP(=O)(O)O)C(O)C3O,training
1,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,training
1,Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F,training
1,Oc1ccc2CC3N(CC4CCC4)CCC5(CCCCC35O)c2c1,training
1,c1c[nH]cn1,training
1,CN(C)C(=O)C(CC[NH+]1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,training
1,Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1,training
1,COc1cccc(c1)C2(O)CCCCC2CN(C)C,training
1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,training
1,CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12,training
1,NC1CC1c2ccccc2,training
1,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O,training
1,OC(C1CCCCN1)c2cc(nc3c(cccc23)C(F)(F)F)C(F)(F)F,training
1,[O-]C(=O)CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])C(COCc1ccccc1)C(=O)[O-],training
1,CN1C(=O)C(=C(N=C1C(C)(C)NC(=O)c2oc(C)nn2)C(=O)NCc3ccc(F)cc3)[O-],training
1,Cc1ccc(cn1)c2ncc(Cl)cc2c3ccc(cc3)S(=O)(=O)C,training
1,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,training
1,CN1C(=O)N(C)c2ncn(C)c2C1=O,training
1,CNC1C(O)C(O)C(CO)OC1OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O,training
1,NC(=NCCCCC1NC(=O)CCSSCC(NC(=O)C2CCCN2C(=O)C(Cc3c[nH]c4ccccc34)NC(=O)C(CC(=O)O)NC(=O)CNC1=O)C(=O)N)N,training
1,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N2CCCC2C(=O)O,training
1,N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)c(F)cc3F,training
1,CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1,training
1,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(=O)C)C2C(OC(=O)c4ccccc4)C5(O)CC(OC(=O)C(O)C(NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,training
1,CCc1cc2CC(Cc2cc1CC)NCC(O)c3ccc(O)c4NC(=O)C=Cc34,training
1,NC1=NC(=O)N(C[C@@H](CO)OCP(=O)(O)O)C=C1,training
1,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,training
1,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,training
1,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,training
1,CN1C=CC(=O)C(=C1C)O,training
1,Nc1cccc2C(=O)N(Cc12)C3CCC(=O)NC3=O,training
1,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc4ccc(cc4)c5ccccc5c6nn[nH]n6,training
1,COC(=O)C(C1CCCCN1)c2ccccc2,training
1,NC1=NC(=O)N(C=C1)C2OC(CO)C(O)C2(F)F,training
1,COc1ccc(OC)c(c1)C2NC(=O)NC(=C2C(=O)Nc3ccc(F)c(F)c3)C,training
1,Cc1ccsc1C(=CCCN2CCCC(C2)C(=O)O)c3sccc3C,training
1,CN1C2CCC1CC(C2)OC(=O)c3c[nH]c4ccccc34,training
1,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,training
1,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,training
1,COc1ccc(CNc2nc(ncc2C(=O)NCc3ncccn3)N4CCC[C@H]4CO)cc1Cl,training
1,CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2,training
1,Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F,training
1,COc1c(N2CC3CCCNC3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O,training
1,BrCCCCOc1ccccc1,training
1,CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)c3ccc(N)cc3,training
1,COc1ccc2C[C@H]3[C@@H]4CCC(=O)[C@@H]5Oc1c2[C@]45CCN3C,training
1,CC1=CN(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)NC1=O,training
1,Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1,training
1,NCC1(CC(=O)O)CCCCC1,training
1,FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)[NH2+]CC2CCCCN2,training
1,ClCCNP1(=O)OCCCN1CCCl,training
1,CCN(CC)CCOc1ccc(cc1)C(=C(Cl)c2ccccc2)c3ccccc3,training
1,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc12)OCOC(=O)C(C)(C)C,training
1,CN1CCN2C(C1)c3ccccc3Cc4cccnc24,training
1,C=Cc1ccccc1,training
1,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,training
1,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,training
1,Clc1ccc2c(c1)C(=NCc3nncn23)c4ccccc4,training
1,CN1C(=O)CC(=O)N(c2ccccc2)c3cc(Cl)ccc13,training
1,Nc1nc(Cl)nc2c1ncn2C3CC(O)C(CO)O3,training
1,COC(=O)C(N1CCc2sccc2C1)c3ccccc3Cl,training
1,Nc1nc2ccc(OC(F)(F)F)cc2s1,training
1,COc1ccc(OC)c(c1)C(O)CNC(=O)CN,training
1,[O-]C(=O)c1cccnc1,training
1,Nc1nc(F)nc2c1ncn2C3OC(CO)C(O)C3O,training
1,CC(C)C(NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)NC(CC(O)C(Cc2ccccc2)NC(=O)OCc3cncs3)Cc4ccccc4,training
1,NC1=NC(=O)N(C=C1)C2OC(CO)C(O)C2O,training
1,CC1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)S(=O)(=O)N,training
1,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,training
1,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,training
