No.,CAS,SMILES,pLD50
1,54-71-7,CCC1C(Cc2cncn2C)COC1=O,-2.19
2,55-16-3,CN1C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4,-2.02
3,58-40-2,CN(C)CCCN1c2ccccc2Sc3ccccc13,-2.15
4,60-25-3,C[N+](C)(C)CCCCCC[N+](C)(C)C,-1.79
5,69-27-2,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1,-1.79
6,71-81-8,CC(C)[N+](C)(CCC(C(=O)N)(c1ccccc1)c2ccccc2)C(C)C,-2.08
7,126-17-0,CC1CCC2(NC1)OC3CC4C5CC=C6CC(O)CCC6(C)C5CCC4(C)C3C2C,-2.95
8,298-45-3,COc1ccc2CC3N(C)CCc4cc5OCOc5c(c34)c2c1O,-2.16
9,299-95-6,CC(C)NCC(O)c1ccc(O)c(O)c1,-2.56
10,525-66-6,CC(C)NCC(O)COc1cccc2ccccc12,-1.62
11,695-63-6,CCOP1(=O)CCC=C1,-3.62
12,1018-34-4,C[N+](C)(C)CCOC(=O)C1CCC[N+]1(C)C,-2.06
13,1033-68-7,C(Cc1ccccc1)N2CCN(CC2)c3ccccc3,-1.88
14,1040-88-6,COc1cccc(CCN2CCN(CC2)c3ccccc3)c1,-2.48
15,1040-91-1,COc1ccc(CCN2CCN(CC2)c3ccccn3)cc1,-2.00
16,1047-65-0,COc1ccc(OC)c(CCN2CCN(CC2)c3ccccn3)c1,-2.48
17,1047-68-3,COc1ccc(CCN2CCN(CC2)c3ccccc3)cc1OC,-2.18
18,1047-70-7,COc1ccc(CCN2CCN(CC2)c3ccccn3)cc1OC,-2.48
19,1049-78-1,COc1ccc(CCN2CCN(CC2)c3ccccc3Br)cc1OC,-1.88
20,1049-79-2,COc1ccc(CCN2CCN(CC2)c3ccccc3C)cc1OC,-2.00
21,1049-80-5,COc1ccc(CCN2CCN(CC2)c3ccccc3N)cc1OC,-1.88
22,1049-81-6,COc1ccc(CCN2CCN(CC2)c3ccccc3O)cc1OC,-1.70
23,1049-99-6,COc1ccc(CCN2CCN(CC2)c3cccc(Cl)c3)cc1OC,-1.88
24,1050-03-9,COc1ccc(CCN2CCN(CC2)c3ccc(C)cc3)cc1OC,-2.18
25,1050-04-0,COc1ccc(CCN2CCN(CC2)c3ccc(Cl)cc3)cc1OC,-1.88
26,1051-24-7,COc1ccc(CCN2CCN(CC2)c3c(C)cccc3C)cc1OC,-2.18
27,1051-73-6,COc1ccc(CCN2CCN(CC2)c3ccccc3SC)cc1OC,-2.00
28,1052-00-2,COc1ccc(CCN2CCN(CC2)c3cccc(C)c3C)cc1OC,-1.88
29,1052-20-6,COc1ccc(CCN2CCN(CC2)c3ccc(C)c(C)c3)cc1OC,-2.00
30,1052-21-7,COc1cccc(c1)N2CCN(CCc3ccc(OC)c(OC)c3)CC2,-2.00
31,1052-26-2,COc1ccc(cc1)N2CCN(CCc3ccc(OC)c(OC)c3)CC2,-2.00
32,1057-13-2,Fc1ccccc1C2=NCC(=O)N(CCCN3CCNCC3)c4ccc(Cl)cc24,-2.00
33,1061-06-9,Clc1ccc2N(CCN3CCCC3)C(=O)CN=C(c4ccccc4)c2c1,-2.25
34,1061-20-7,Clc1ccc2N(CCN3CCCCC3)C(=O)CN=C(c4ccccc4)c2c1,-2.28
35,1061-21-8,Clc1ccc2N(CCN3CCOCC3)C(=O)CN=C(c4ccccc4)c2c1,-2.55
36,1064-65-9,CCOCCN1CCN(CCCN2C(=O)CN=C(c3ccccc3F)c4cc(Cl)ccc24)CC1,-2.27
37,1064-66-0,Fc1ccccc1C2=NCC(=O)N(CCCN3CCN(CCOC=C)CC3)c4ccc(Cl)cc24,-2.45
38,1100-25-0,CN(C)CCCN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,-2.36
39,1110-46-9,OCCN1CCN(CCCN2C(=O)CN=C(c3ccccc3F)c4cc(Cl)ccc24)CC1,-2.22
40,1146-18-5,CC(COC(=O)N)(COC(=O)N)C1CCCCC1,-2.62
41,1163-36-6,Clc1ccc(Cn2c(CN3CCCC3)nc4ccccc24)cc1,-2.46
42,1240-79-5,COc1cccc(OC)c1CCN2CCN(CC2)c3ccccn3,-2.18
43,1242-71-3,CC(CN(C)C)N1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,-2.49
44,1243-33-0,COc1ccc(CCN2CCN(CC2)c3ccccc3Cl)cc1OC,-2.00
45,1243-34-1,COc1ccc(CCN2CCN(CC2)c3ccccc3F)cc1OC,-1.88
46,1243-53-4,COc1ccc(CCN2CCN(CC2)c3cccc(C)c3)cc1OC,-2.00
47,1245-28-9,COc1ccc(CCN2CCN(CC2)c3ccccc3OC)cc1OC,-1.70
48,1245-35-8,COc1ccc(CCN2CCN(CC2)c3ccc(C)cc3C)cc1OC,-1.88
49,1245-36-9,COc1ccc(CCN2CCN(CC2)c3ccc(Cl)cc3Cl)cc1OC,-1.88
50,1245-59-6,COc1ccc(CCN2CCN(CC2)c3cc(Cl)ccc3Cl)cc1OC,-1.70
51,1248-22-2,CCN(CC)CCCN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,-2.31
52,1248-48-2,COc1ccc(CCN2CCN(CC2)c3ccccc3[N+](=O)[O-])cc1OC,-1.88
53,1248-54-0,CCOc1ccccc1N2CCN(CCc3ccc(OC)c(OC)c3)CC2,-2.18
54,1250-37-9,COc1ccc(CCN2CCN(CC2)c3ccccc3NC(=O)C)cc1OC,-1.88
55,1420-03-7,CN1CCCC(C1)OC(=O)C(O)(C2CCCCC2)c3ccccc3,-2.35
56,1508-65-2,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,-2.27
57,1672-86-2,CCCC(C)(COC(=O)NC(=O)C)COC(=O)NC(=O)C,-2.79
58,1690-72-8,COC(=O)C1CCCN(C)C1,-3.30
59,1755-81-3,CN1CCN(CCCN2C(=O)CN=C(c3ccccc3F)c4cc(Cl)ccc24)CC1,-2.10
60,1755-83-5,CN1CCN(CCN2C(=O)CN=C(c3ccccc3F)c4cc(Cl)ccc24)CC1,-2.32
61,1755-84-6,COc1ccc(OC)c(c1)N2CCN(CCc3ccc(OC)c(OC)c3)CC2,-2.00
62,1959-19-9,CN(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(F)(F)F,-2.45
63,1972-74-3,CCN(CC)CCN1C(=O)CNC(c2ccccc2F)c3cc(Cl)ccc13,-2.48
64,2032-54-4,Clc1ccc(OCCN2CCN(CC2)c3ccccn3)cc1,-2.48
65,2032-56-6,COc1ccc(OCCN2CCN(CC2)c3ccccc3OC)cc1OC,-2.18
66,2062-74-0,COc1ccccc1N2CCN(CCCCOc3ccc(F)cc3)CC2,-2.78
67,2109-30-0,CC(COC(=O)N)(COC(=O)N)Cc1ccc(Cl)cc1,-2.62
68,2239-02-3,COc1ccc(OCCCCN2CCN(CC2)c3ccccc3Cl)cc1OC,-2.18
69,2576-43-4,C[N+](C)(C)CCOCC[N+](C)(C)C,-3.16
70,2612-27-3,CC(C)C(CO)CO,-2.79
71,2612-32-0,OCC(CO)C1CCCCC1,-2.40
72,2819-05-8,CC(C)(C)C(CO)CO,-2.45
73,3332-92-1,CN1CCN(CCCN2C(=O)CN=C(c3ccccc3)c4cc(Cl)ccc24)CC1,-2.50
74,3717-88-2,CC1=C(Oc2c(cccc2C1=O)C(=O)OCCN3CCCCC3)c4ccccc4,-2.54
75,3966-84-5,CCN(CC)CCN1C(=O)CN=C(c2ccccn2)c3cc(Br)ccc13,-2.47
76,4084-16-6,CN(C)CCCN1C(=O)CNC(c2ccccc2F)c3cc(Cl)ccc13,-2.51
77,4084-17-7,CCN(CC)CCCN1C(=O)CNC(c2ccccc2F)c3cc(Cl)ccc13,-2.45
78,4130-65-8,Clc1ccc2N(CCN3CCNCC3)C(=O)CN=C(c4ccccc4)c2c1,-2.16
79,4130-72-7,CN(C)CCCN1C(=O)CN=C(c2ccccc2F)c3cc(Cl)ccc13,-2.42
80,4130-75-0,CCN(CC)CCCN1C(=O)CN=C(c2ccccc2F)c3cc(Cl)ccc13,-2.25
81,4191-05-3,CNCCCN1C(=O)CNC(c2ccccc2F)c3cc(Cl)ccc13,-2.48
82,4196-18-3,CNCCCN1C(=O)CN=C(c2ccccc2F)c3cc(Cl)ccc13,-2.43
83,4219-01-6,CN(C)CCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],-2.56
84,4310-35-4,CC[N+](CC)(CC)CCC(O)(C1CCCCC1)c2ccccc2,-2.01
85,4424-32-2,Cc1ccc(cc1)C(CO)CO,-2.62
86,4466-96-0,CN(C)CCCN1C(=O)CN=C(c2ccccn2)c3cc(Br)ccc13,-2.54
87,4624-70-8,COC(C)C1(COC(C)OC1)C(C)C,-3.18
88,5260-91-3,CCCOP1(=O)CC=CC1,-3.18
89,5697-60-9,CN(C)CCOC(c1ccccc1)c2ccccc2C(C)(C)C,-2.06
90,6577-41-9,C[N+]1(CC2COC(O2)(C3CCCCC3)c4ccccc4)CCCCC1,-1.20
91,7432-28-2,COc1cc2CC(C)C(C)(O)Cc3cc(OC)c(OC)c(OC)c3c2c(OC)c1OC,-2.71
92,10140-06-4,CN1CCN(C)C(COC(c2ccccc2)c3ccccc3C(C)(C)C)C1,-2.22
93,10140-08-6,CCc1cccc(CC)c1C(OCCOCCN2CCN(C)CC2)c3c(CC)cccc3CC,-2.51
94,10140-09-7,CC1CN(CCOCCOC(c2ccccc2)c3ccccc3)C(C)CN1C,-2.18
95,14258-45-8,C1CN(CCN1C(c2ccccc2)c3ccccc3)c4ccccc4,-1.85
96,16360-46-6,CCCOP1(=O)CCC=C1,-3.35
97,17388-06-6,CCC1(COC(OC1)C(C)C)C(C)OC,-3.18
98,17388-07-7,CCC1(CCOC)COC(OC1)C(C)C,-3.20
99,19131-74-9,CC(C)OC(C)C1(C)COC(C)OC1,-3.08
100,19476-83-6,CCCC1COC(OC1)C(C)C,-2.90
101,19476-85-8,CCCC1(COC(C)OC1)C(C)OC(C)C,-3.00
102,19476-87-0,COCC1(C)COC(C)OC1,-3.18
103,20135-60-8,CCCCCCCCOP1(=O)CC=CC1,-2.18
104,20915-57-5,CCC1(NC)C(=O)c2ccccc2C1=O,-2.78
105,21216-76-2,C(C1COC(O1)(c2ccccc2)c3ccccc3)N4CCCCC4,-2.22
106,22644-53-7,COCC1(COC(OC1)C(C)C)C(C)C,-3.08
107,22644-54-8,CC(C)OCC1(C)COC(OC1)C(C)C,-2.85
108,22644-56-0,CCC1(COC(C)OC1)C(C)OC,-3.00
109,22644-62-8,COC(C)C1(COC(OC1)c2ccccc2)C(C)C,-3.20
110,22644-64-0,COC(C)C1(CC=C)COC(C)OC1,-3.08
111,22644-66-2,COC(C)C1(CC=C)COC(OC1)C(C)C,-3.00
112,22644-68-4,CCCOC(C)C1(CC=C)COC(C)OC1,-3.08
113,22644-70-8,CCCOC(C)C1(CC=C)COC(OC1)C(C)C,-3.20
114,22644-75-3,COCCC1(C)COC(C)OC1,-3.00
115,22644-77-5,COCCC1(COC(C)OC1)C(C)C,-3.00
116,22644-79-7,CCOCCC1(C)COC(OC1)C(C)C,-2.90
117,22645-27-8,CCC1COC(OC1)C(C)C,-2.90
118,22645-28-9,CCCC1COC(C)OC1,-2.90
119,22645-32-5,CCCCCCC1COC(C)OC1,-2.90
